Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed (kph),Distance (m),Average_Q (PCUs),Capacity (PCUs),V_C (%),Delay (s),Total_Time (s),Net_Speed_kph (kph),Actual_Flow_Total (PCUs),Demand_Flow_Total (PCUs),Capacity_Indices,Fixed_Flow (PCUs),Actual_Flow_UC1 (PCUs),Actual_Flow_UC2 (PCUs),Actual_Flow_UC3 (PCUs),Actual_Flow_UC4 (PCUs),Actual_Flow_UC5 (PCUs),Actual_Flow_UC6 (PCUs),Actual_Flow_UC7 (PCUs),Actual_Flow_UC8 (PCUs),Actual_Flow_UC9 (PCUs),Actual_Flow_UC10 (PCUs),Actual_Flow_%_HGV (%),Demand_Flow_UC1 (PCUs),Demand_Flow_UC2 (PCUs),Demand_Flow_UC3 (PCUs),Demand_Flow_UC4 (PCUs),Demand_Flow_UC5 (PCUs),Demand_Flow_UC6 (PCUs),Demand_Flow_UC7 (PCUs),Demand_Flow_UC8 (PCUs),Demand_Flow_UC9 (PCUs),Demand_Flow_UC10 (PCUs),Demand_Flow_%_HGV (%),Car_Veh_Actual_Tot,LGV_Veh_Actual_Tot,HGV_Veh_Actual_Tot,Car_PCU_Actual_Tot,LGV_PCU_Actual_Tot,HGV_PCU_Actual_Tot,Car_Veh_Demand_Tot,LGV_Veh_Demand_Tot,HGV_Veh_Demand_Tot,Car_PCU_Demand_Tot,LGV_PCU_Demand_Tot,HGV_PCU_Demand_Tot,Fixed_Tot,Fixed_PCU_Tot,Period,wkt_geom
1213-1008,1213,1008,56162,32145,56205,32130,1,30,465,1.45,436.06,36.8,38.95,94.75,17.67,160.45,160.45,0,0,0.71,23.01,2.23,2.51,13.64,9.75,11.75,8.91,87.19,0.74,0.004612029,0.71,23.01,2.23,2.51,13.64,9.75,11.75,8.91,87.19,0.74,0.461202867,72.51,87.19,0.32173913,72.51,87.19,0.74,72.51,87.19,0.32173913,72.51,87.19,0.74,0,0,AM,"LineString (56162 32145, 56205 32130)"
2120-1009,2120,1009,56392,32169,56385,32137,1,48,333,0,1720,35.93,5.57,30.54,39.25,766.07,766.07,43,4,0.55,356.17,1.13,44.7,9.06,5.66,215.9,8.58,112.72,7.6,0.009920764,0.55,356.17,1.13,44.7,9.06,5.66,215.9,8.58,112.72,7.6,0.992076442,641.75,112.72,3.304347826,641.75,112.72,7.6,641.75,112.72,3.304347826,641.75,112.72,7.6,2,4,AM,"LineString (56392 32169, 56385 32137)"
7047-1009,7047,1009,56385,32126,56385,32137,1,48,108,0,1888.5,24.6,1.26,9.36,41.52,464.54,464.54,0,10,3.63,141.92,10.11,18.53,32.62,55.43,91.08,26.33,70.95,3.95,0.008503035,3.63,141.92,10.11,18.53,32.62,55.43,91.08,26.33,70.95,3.95,0.850303526,379.65,70.95,1.717391304,379.65,70.95,3.95,379.65,70.95,1.717391304,379.65,70.95,3.95,5,10,AM,"LineString (56385 32126, 56385 32137)"
2119-1009,2119,1009,56368,32147,56385,32137,1,30,195,0.17,394.07,31.63,11.43,34.83,20.16,124.66,124.66,0,0,0.58,53.31,0.33,6.41,2.88,2.33,32.41,3.89,21.99,0.52,0.004171346,0.58,53.31,0.33,6.41,2.88,2.33,32.41,3.89,21.99,0.52,0.417134606,102.14,21.99,0.226086957,102.14,21.99,0.52,102.14,21.99,0.226086957,102.14,21.99,0.52,0,0,AM,"LineString (56368 32147, 56385 32137)"
1217-1010,1217,1010,56677,32295,56629,32215,1,96,934,0,1900,59.2,9.65,44.68,75.26,1124.71,1124.71,17,14,0.96,467.78,1.89,65.11,12.55,7.88,276.67,8.38,102.42,167.06,0.148536067,0.96,467.78,1.89,65.11,12.55,7.88,276.67,8.38,102.42,167.06,14.85360671,841.22,102.42,72.63478261,841.22,102.42,167.06,841.22,102.42,72.63478261,841.22,102.42,167.06,7,14,AM,"LineString (56677 32295, 56629 32215)"
7014-1010,7014,1010,56536,32026,56629,32215,1,96,2111,0,1500,58.2,11.58,90.74,83.75,873.03,873.03,17,16,3.86,274.83,14.13,22.68,36.75,60.08,85.92,23.07,179.82,155.89,0.17856202,3.86,274.83,14.13,22.68,36.75,60.08,85.92,23.07,179.82,155.89,17.85620196,521.32,179.82,67.77826087,521.32,179.82,155.89,521.32,179.82,67.77826087,521.32,179.82,155.89,8,16,AM,"LineString (56536 32026, 56629 32215)"
1029-1011,1029,1011,56185,32071,56192,32066,2,48,86,3.54,1412.89,57.18,18.72,25.17,12.3,807.88,807.88,0,6,1,323.3,2.92,46.9,26.53,13.23,202.45,16.97,126.91,41.66,0.051567064,1,323.3,2.92,46.9,26.53,13.23,202.45,16.97,126.91,41.66,5.156706442,633.3,126.91,18.11304348,633.3,126.91,41.66,633.3,126.91,18.11304348,633.3,126.91,41.66,3,6,AM,"LineString (56185 32071, 56192 32066)"
1139-1011,1139,1011,56198,32069,56192,32066,1,32,64,1.34,348.3,44.61,40.17,47.37,4.86,155.37,155.37,0,8,0.36,74.37,0.27,10.02,6.07,1.92,41.26,7.01,6.09,0,0,0.36,74.37,0.27,10.02,6.07,1.92,41.26,7.01,6.09,0,0,141.28,6.09,0,141.28,6.09,0,141.28,6.09,0,141.28,6.09,0,4,8,AM,"LineString (56198 32069, 56192 32066)"
1014-1011,1014,1011,56194,32053,56192,32066,1,48,132,1.17,1466.16,38.66,9.43,19.33,24.59,566.85,566.85,0,10,1.43,178.95,8.84,21.98,45.89,38.36,94.32,30.82,86.02,50.24,0.088630149,1.43,178.95,8.84,21.98,45.89,38.36,94.32,30.82,86.02,50.24,8.863014907,420.59,86.02,21.84347826,420.59,86.02,50.24,420.59,86.02,21.84347826,420.59,86.02,50.24,5,10,AM,"LineString (56194 32053, 56192 32066)"
7048-1013,7048,1013,56359,32073,56362,32076,1,48,37,0.08,2286.45,17.39,2.23,5.01,26.6,397.53,397.53,0,10,2.21,123.27,8.3,14.72,29.65,42.61,86.3,31.26,47.83,1.38,0.003471436,2.21,123.27,8.3,14.72,29.65,42.61,86.3,31.26,47.83,1.38,0.347143612,338.32,47.83,0.6,338.32,47.83,1.38,338.32,47.83,0.6,338.32,47.83,1.38,5,10,AM,"LineString (56359 32073, 56362 32076)"
5003-1013,5003,1013,56355,32087,56362,32076,1,30,130,0.04,400.8,9.09,9.73,25.33,18.48,36.41,36.41,0,0,0.79,9.51,0.29,1.77,1.48,4.45,8.53,7.21,1.34,1.03,0.028288932,0.79,9.51,0.29,1.77,1.48,4.45,8.53,7.21,1.34,1.03,2.828893161,34.03,1.34,0.447826087,34.03,1.34,1.03,34.03,1.34,0.447826087,34.03,1.34,1.03,0,0,AM,"LineString (56355 32087, 56362 32076)"
7047-1013,7047,1013,56385,32126,56362,32076,1,48,562,0,1563.37,54.42,11.43,53.58,37.76,850.78,850.78,43,6,0.71,387.5,1.24,49.02,10.48,6.43,240.24,11.15,129.9,8.12,0.009544183,0.71,387.5,1.24,49.02,10.48,6.43,240.24,11.15,129.9,8.12,0.954418299,706.77,129.9,3.530434783,706.77,129.9,8.12,706.77,129.9,3.530434783,706.77,129.9,8.12,3,6,AM,"LineString (56385 32126, 56362 32076)"
2032-1013,2032,1013,56386,32076,56362,32076,1,32,245,0.4,660,30.83,14.14,41.7,21.15,247.65,247.65,46,0,3.08,77.69,3.43,12.23,13.17,23.36,65.41,17.33,29.36,2.58,0.010417929,3.08,77.69,3.43,12.23,13.17,23.36,65.41,17.33,29.36,2.58,1.041792853,215.7,29.36,1.12173913,215.7,29.36,2.58,215.7,29.36,1.12173913,215.7,29.36,2.58,0,0,AM,"LineString (56386 32076, 56362 32076)"
1034-1014,1034,1014,56202,32040,56194,32053,1,48,163,1.48,1100,41.79,14.38,26.61,22.05,459.7,459.7,0,10,0.88,161.61,4.37,21.06,32.76,19.19,90.3,22.44,54.7,42.38,0.092190559,0.88,161.61,4.37,21.06,32.76,19.19,90.3,22.44,54.7,42.38,9.219055906,352.61,54.7,18.42608696,352.61,54.7,42.38,352.61,54.7,18.42608696,352.61,54.7,42.38,5,10,AM,"LineString (56202 32040, 56194 32053)"
2012-1014,2012,1014,56183,32055,56194,32053,2,32,113,0.65,882.22,12.15,25.79,38.5,10.57,107.15,107.15,0,0,0.55,17.34,4.47,0.92,13.13,19.17,4.02,8.37,31.32,7.86,0.07335511,0.55,17.34,4.47,0.92,13.13,19.17,4.02,8.37,31.32,7.86,7.335510966,67.97,31.32,3.417391304,67.97,31.32,7.86,67.97,31.32,3.417391304,67.97,31.32,7.86,0,0,AM,"LineString (56183 32055, 56194 32053)"
