Matrix Object
vehicle_type: Road
value_type: Person Trips
time_period: Inter_peak
purpose: OB_HBW
level: 2
zone_count: 120
matrix_sum: 19065.0
interzonal_sum: 18639.0
intrazonal_sum: 426.0
Comments:
Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\20200220 - Deliverable 1 Matrices\D1_Weekday_OB_HBW_Road.csv
MND Raw Data
reference,index,x_coord,y_coord,area_ref,msoa,sector,cordon_inner,cordon_outer,Internal,Unnamed: 9,o_total,d_total,intrazonal
1011,19,603998,295067,Breckland 011,E02005513,9,outside,outside,False,1011,169.0,95.0,0.0
1012,20,581682,297063,Breckland 012,E02005514,9,outside,outside,False,1012,152.0,91.0,3.0
1013,21,604853,290790,Breckland 013,E02005515,9,outside,outside,False,1013,99.0,111.0,1.0
1014,22,597539,284128,Breckland 014,E02005516,9,outside,outside,False,1014,148.0,93.0,3.0
1015,23,585826,285759,Breckland 015,E02005517,9,outside,outside,False,1015,89.0,128.0,0.0
1016,24,587791,283588,Breckland 016,E02005518,9,outside,outside,False,1016,214.0,97.0,0.0
1017,25,584480,283022,Breckland 017,E02005519,9,outside,outside,False,1017,149.0,128.0,2.0
1018,26,618363,326863,Broadland 001,E02005520,13,outside,outside,True,1018,190.0,117.0,4.0
1019,27,610716,321553,Broadland 002,E02005521,13,outside,outside,True,1019,200.0,217.0,7.0
1020,28,625306,320263,Broadland 003,E02005522,14,outside,outside,True,1020,187.0,73.0,1.0
1021,29,619690,318749,Broadland 004,E02005523,13,outside,outside,True,1021,299.0,118.0,7.0
1022,30,623390,315202,Broadland 005,E02005524,14,outside,outside,True,1022,153.0,75.0,0.0
1023,31,615911,314230,Broadland 006,E02005525,13,outside,outside,True,1023,307.0,133.0,0.0
1024,32,618206,313913,Broadland 007,E02005526,13,outside,outside,True,1024,189.0,89.0,1.0
1025,33,629373,314134,Broadland 008,E02005527,14,outside,outside,True,1025,268.0,129.0,2.0
1026,34,623554,312619,Broadland 009,E02005528,14,inside,inside,True,1026,165.0,74.0,0.0
1027,35,620077,312145,Broadland 010,E02005529,13,inside,inside,True,1027,159.0,151.0,0.0
1028,36,621149,311920,Broadland 011,E02005530,13,inside,inside,True,1028,136.0,152.0,0.0
1029,37,625170,312679,Broadland 012,E02005531,14,inside,inside,True,1029,151.0,63.0,3.0
1030,38,625986,311747,Broadland 013,E02005532,14,inside,inside,True,1030,149.0,271.0,3.0
1031,39,635720,312415,Broadland 014,E02005533,14,outside,outside,True,1031,210.0,65.0,1.0
1032,40,626485,309865,Broadland 015,E02005534,14,inside,inside,True,1032,155.0,65.0,0.0
1033,41,627178,309109,Broadland 016,E02005535,14,outside,inside,True,1033,120.0,172.0,0.0
1034,42,635061,306298,Broadland 017,E02005536,14,outside,outside,True,1034,171.0,174.0,2.0
1035,43,642604,306812,Broadland 018,E02005537,14,outside,outside,True,1035,134.0,94.0,6.0
1036,44,648713,317534,Great Yarmouth 001,E02005538,7,outside,outside,False,1036,250.0,53.0,0.0
1037,45,644892,314015,Great Yarmouth 002,E02005539,7,outside,outside,False,1037,181.0,70.0,2.0
1038,46,651250,311760,Great Yarmouth 003,E02005540,7,outside,outside,False,1038,156.0,26.0,0.0
1039,47,652799,309688,Great Yarmouth 004,E02005541,7,outside,outside,False,1039,75.0,34.0,0.0
1040,48,650284,308151,Great Yarmouth 005,E02005542,7,outside,outside,False,1040,97.0,184.0,1.0
1041,49,652980,306021,Great Yarmouth 006,E02005543,7,outside,outside,False,1041,131.0,234.0,0.0
1042,50,651693,306612,Great Yarmouth 007,E02005544,7,outside,outside,False,1042,109.0,241.0,1.0
1043,51,650505,305618,Great Yarmouth 008,E02005545,7,outside,outside,False,1043,47.0,119.0,0.0
1044,52,652042,304597,Great Yarmouth 009,E02005546,7,outside,outside,False,1044,73.0,94.0,0.0
1045,53,652457,302774,Great Yarmouth 010,E02005547,7,outside,outside,False,1045,96.0,129.0,0.0
1046,54,651940,303126,Great Yarmouth 011,E02005548,7,outside,outside,False,1046,65.0,149.0,0.0
1047,55,647821,302416,Great Yarmouth 012,E02005549,7,outside,outside,False,1047,126.0,32.0,0.0
1048,56,651436,301705,Great Yarmouth 013,E02005550,7,outside,outside,False,1048,75.0,47.0,0.0
1049,57,570465,341482,Kings Lynn and West Norfolk 001,E02005551,5,outside,outside,False,1049,67.0,75.0,0.0
1050,58,580688,336370,Kings Lynn and West Norfolk 002,E02005552,5,outside,outside,False,1050,135.0,103.0,12.0
1051,59,570025,335026,Kings Lynn and West Norfolk 003,E02005553,5,outside,outside,False,1051,175.0,60.0,3.0
1052,60,572682,326324,Kings Lynn and West Norfolk 004,E02005554,5,outside,outside,False,1052,217.0,82.0,1.0
1053,61,563735,324937,Kings Lynn and West Norfolk 005,E02005555,5,outside,outside,False,1053,101.0,68.0,3.0
1054,62,564729,321846,Kings Lynn and West Norfolk 006,E02005556,5,outside,outside,False,1054,72.0,61.0,0.0
1055,63,561922,321750,Kings Lynn and West Norfolk 007,E02005557,5,outside,outside,False,1055,99.0,131.0,0.0
1056,64,556132,321469,Kings Lynn and West Norfolk 008,E02005558,5,outside,outside,False,1056,195.0,49.0,4.0
1057,65,563299,320193,Kings Lynn and West Norfolk 009,E02005559,5,outside,outside,False,1057,101.0,190.0,0.0
1058,66,564661,320442,Kings Lynn and West Norfolk 010,E02005560,5,outside,outside,False,1058,91.0,162.0,0.0
1059,67,561633,317831,Kings Lynn and West Norfolk 011,E02005561,5,outside,outside,False,1059,166.0,783.0,6.0
1060,68,573368,317955,Kings Lynn and West Norfolk 012,E02005562,5,outside,outside,False,1060,179.0,94.0,4.0
1061,69,550917,312485,Kings Lynn and West Norfolk 013,E02005563,5,outside,outside,False,1061,166.0,121.0,5.0
1062,70,566425,311599,Kings Lynn and West Norfolk 014,E02005564,5,outside,outside,False,1062,208.0,233.0,21.0
1063,71,557541,312565,Kings Lynn and West Norfolk 015,E02005565,5,outside,outside,False,1063,258.0,51.0,2.0
1064,72,553591,300835,Kings Lynn and West Norfolk 016,E02005566,5,outside,outside,False,1064,218.0,104.0,13.0
1065,73,561283,303253,Kings Lynn and West Norfolk 017,E02005567,5,outside,outside,False,1065,167.0,103.0,0.0
1066,74,564795,301112,Kings Lynn and West Norfolk 018,E02005568,5,outside,outside,False,1066,124.0,60.0,2.0
1067,75,569160,292552,Kings Lynn and West Norfolk 019,E02005569,5,outside,outside,False,1067,163.0,73.0,3.0
1068,76,615592,342767,North Norfolk 001,E02005570,6,outside,outside,False,1068,81.0,62.0,0.0
1069,77,597939,340705,North Norfolk 002,E02005571,6,outside,outside,False,1069,76.0,79.0,6.0
1070,78,621818,341439,North Norfolk 003,E02005572,6,outside,outside,False,1070,96.0,134.0,0.0
1071,79,608334,341412,North Norfolk 004,E02005573,6,outside,outside,False,1071,65.0,114.0,0.0
1072,80,622614,338597,North Norfolk 005,E02005574,6,outside,outside,False,1072,106.0,35.0,4.0
1073,81,615411,334871,North Norfolk 006,E02005575,6,outside,outside,False,1073,107.0,64.0,4.0
1074,82,629482,334125,North Norfolk 007,E02005576,6,outside,outside,False,1074,114.0,45.0,0.0
1075,83,601678,331682,North Norfolk 008,E02005577,6,outside,outside,False,1075,110.0,50.0,5.0
1076,84,590809,331494,North Norfolk 009,E02005578,6,outside,outside,False,1076,89.0,54.0,3.0
1077,85,628087,329936,North Norfolk 010,E02005579,6,outside,outside,False,1077,174.0,137.0,0.0
1078,86,592947,330792,North Norfolk 011,E02005580,6,outside,outside,False,1078,106.0,221.0,0.0
1079,87,630176,327066,North Norfolk 012,E02005581,6,outside,outside,False,1079,175.0,70.0,1.0
1080,88,639916,325857,North Norfolk 013,E02005582,6,outside,outside,False,1080,105.0,89.0,3.0
1081,89,637561,320196,North Norfolk 014,E02005583,6,outside,outside,False,1081,190.0,111.0,3.0
1082,90,622530,312336,Norwich 001,E02005584,15,inside,inside,True,1082,208.0,566.0,7.0
1083,91,621588,310431,Norwich 002,E02005585,15,inside,inside,True,1083,152.0,195.0,1.0
1084,92,623371,310192,Norwich 003,E02005586,15,inside,inside,True,1084,153.0,130.0,0.0
1085,93,625208,309908,Norwich 004,E02005587,15,inside,inside,True,1085,163.0,142.0,0.0
1086,94,618176,309206,Norwich 005,E02005588,16,inside,inside,True,1086,324.0,122.0,0.0
1087,95,620346,309492,Norwich 006,E02005589,16,inside,inside,True,1087,186.0,158.0,1.0
1088,96,622651,308965,Norwich 007,E02005590,16,inside,inside,True,1088,169.0,1662.0,3.0
1089,97,621627,308335,Norwich 009,E02005592,16,inside,inside,True,1089,127.0,141.0,1.0
1090,98,619793,307934,Norwich 010,E02005593,16,inside,inside,True,1090,175.0,289.0,0.0
1091,99,622475,307519,Norwich 011,E02005594,16,inside,inside,True,1091,174.0,327.0,0.0
1092,100,620958,306433,Norwich 012,E02005595,16,inside,inside,True,1092,94.0,106.0,0.0
1093,101,623031,306264,Norwich 013,E02005596,16,inside,inside,True,1093,144.0,332.0,0.0
1094,102,617067,311478,South Norfolk 001,E02005597,10,outside,inside,True,1094,406.0,150.0,2.0
1095,103,614745,307501,South Norfolk 002,E02005598,10,outside,inside,True,1095,230.0,464.0,7.0
1096,104,615956,304810,South Norfolk 003,E02005599,10,outside,outside,True,1096,149.0,84.0,0.0
1097,105,605926,303457,South Norfolk 004,E02005600,10,outside,outside,True,1097,122.0,79.0,3.0
1098,106,610647,303767,South Norfolk 005,E02005601,10,outside,outside,True,1098,106.0,70.0,0.0
1099,107,627829,300965,South Norfolk 006,E02005602,12,outside,outside,True,1099,331.0,180.0,8.0
1100,108,611218,299466,South Norfolk 007,E02005603,10,outside,outside,True,1100,200.0,207.0,0.0
1101,109,633383,302263,South Norfolk 008,E02005604,12,outside,outside,True,1101,242.0,86.0,2.0
1102,110,620230,299441,South Norfolk 009,E02005605,11,outside,outside,True,1102,279.0,100.0,5.0
1103,111,642360,295991,South Norfolk 010,E02005606,12,outside,outside,True,1103,130.0,108.0,2.0
1104,112,615044,292954,South Norfolk 011,E02005607,11,outside,outside,True,1104,228.0,135.0,4.0
1105,113,627971,291422,South Norfolk 012,E02005608,12,outside,outside,True,1105,143.0,75.0,4.0
1106,114,622437,285846,South Norfolk 013,E02005609,11,outside,outside,True,1106,128.0,69.0,2.0
1107,115,614493,283644,South Norfolk 014,E02005610,11,outside,outside,True,1107,96.0,104.0,8.0
1108,116,611217,280524,South Norfolk 015,E02005611,11,outside,outside,True,1108,121.0,214.0,1.0
1109,117,650646,297503,Waveney 001,,3,outside,outside,False,1109,89.0,70.0,0.0
1110,118,624070,308050,Norwich 014,E02006907,16,inside,inside,True,1110,100.0,734.0,0.0
1111,119,624417,308899,Norwich 015,E02006908,15,inside,inside,True,1111,112.0,100.0,0.0
