Matrix Object
vehicle_type: Road
value_type: Person Trips
time_period: Inter_peak
purpose: IB_HBO
level: 3
zone_count: 120
matrix_sum: 111865.0
interzonal_sum: 109310.0
intrazonal_sum: 2555.0
Comments:
Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\20200220 - Deliverable 1 Matrices\D1_Weekday_IB_HBO_Road.csv
MND Raw Data
reference,index,x_coord,y_coord,area_ref,msoa,sector,cordon_inner,cordon_outer,Internal,Unnamed: 9,o_total,d_total,intrazonal
1090,98,619793,307934,Norwich 010,E02005593,16,inside,inside,True,1090,1835.0,891.0,9.0
1091,99,622475,307519,Norwich 011,E02005594,16,inside,inside,True,1091,1464.0,590.0,3.0
1092,100,620958,306433,Norwich 012,E02005595,16,inside,inside,True,1092,450.0,581.0,1.0
1093,101,623031,306264,Norwich 013,E02005596,16,inside,inside,True,1093,1583.0,756.0,3.0
1094,102,617067,311478,South Norfolk 001,E02005597,10,outside,inside,True,1094,750.0,1591.0,22.0
1095,103,614745,307501,South Norfolk 002,E02005598,10,outside,inside,True,1095,2240.0,1096.0,69.0
1096,104,615956,304810,South Norfolk 003,E02005599,10,outside,outside,True,1096,354.0,646.0,0.0
1097,105,605926,303457,South Norfolk 004,E02005600,10,outside,outside,True,1097,635.0,819.0,13.0
1098,106,610647,303767,South Norfolk 005,E02005601,10,outside,outside,True,1098,525.0,626.0,0.0
1099,107,627829,300965,South Norfolk 006,E02005602,12,outside,outside,True,1099,941.0,1553.0,18.0
1100,108,611218,299466,South Norfolk 007,E02005603,10,outside,outside,True,1100,1347.0,1110.0,19.0
1101,109,633383,302263,South Norfolk 008,E02005604,12,outside,outside,True,1101,572.0,1167.0,13.0
1102,110,620230,299441,South Norfolk 009,E02005605,11,outside,outside,True,1102,748.0,1392.0,18.0
1103,111,642360,295991,South Norfolk 010,E02005606,12,outside,outside,True,1103,460.0,747.0,7.0
1104,112,615044,292954,South Norfolk 011,E02005607,11,outside,outside,True,1104,802.0,1499.0,51.0
1105,113,627971,291422,South Norfolk 012,E02005608,12,outside,outside,True,1105,506.0,1046.0,29.0
1106,114,622437,285846,South Norfolk 013,E02005609,11,outside,outside,True,1106,523.0,904.0,6.0
1107,115,614493,283644,South Norfolk 014,E02005610,11,outside,outside,True,1107,555.0,938.0,41.0
1108,116,611217,280524,South Norfolk 015,E02005611,11,outside,outside,True,1108,1807.0,931.0,4.0
1109,117,650646,297503,Waveney 001,,3,outside,outside,False,1109,373.0,692.0,7.0
1110,118,624070,308050,Norwich 014,E02006907,16,inside,inside,True,1110,2969.0,389.0,1.0
1111,119,624417,308899,Norwich 015,E02006908,15,inside,inside,True,1111,481.0,356.0,0.0
