Matrix Object
vehicle_type: Road
value_type: Person Trips
time_period: PM_peak_hr
purpose: IB_HBO
level: 3
zone_count: 120
matrix_sum: 20867.0
interzonal_sum: 20325.0
intrazonal_sum: 542.0
Comments:
Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\20200220 - Deliverable 1 Matrices\D1_Weekday_IB_HBO_Road.csv
MND Raw Data
reference,index,x_coord,y_coord,area_ref,msoa,sector,cordon_inner,cordon_outer,Internal,Unnamed: 9,o_total,d_total,intrazonal
1101,109,633383,302263,South Norfolk 008,E02005604,12,outside,outside,True,1101,109.0,219.0,2.0
1102,110,620230,299441,South Norfolk 009,E02005605,11,outside,outside,True,1102,162.0,288.0,5.0
1103,111,642360,295991,South Norfolk 010,E02005606,12,outside,outside,True,1103,87.0,150.0,2.0
1104,112,615044,292954,South Norfolk 011,E02005607,11,outside,outside,True,1104,187.0,323.0,12.0
1105,113,627971,291422,South Norfolk 012,E02005608,12,outside,outside,True,1105,104.0,211.0,5.0
1106,114,622437,285846,South Norfolk 013,E02005609,11,outside,outside,True,1106,97.0,195.0,1.0
1107,115,614493,283644,South Norfolk 014,E02005610,11,outside,outside,True,1107,117.0,213.0,9.0
1108,116,611217,280524,South Norfolk 015,E02005611,11,outside,outside,True,1108,310.0,217.0,1.0
1109,117,650646,297503,Waveney 001,,3,outside,outside,False,1109,55.0,114.0,1.0
1110,118,624070,308050,Norwich 014,E02006907,16,inside,inside,True,1110,571.0,90.0,0.0
1111,119,624417,308899,Norwich 015,E02006908,15,inside,inside,True,1111,90.0,76.0,0.0
