Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed (kph),Distance (m),Average_Q (PCUs),Capacity (PCUs),V_C (%),Delay (s),Total_Time (s),Net_Speed_kph (kph),Actual_Flow_Total (PCUs),Demand_Flow_Total (PCUs),Capacity_Indices,Fixed_Flow (PCUs),Actual_Flow_UC1 (PCUs),Actual_Flow_UC2 (PCUs),Actual_Flow_UC3 (PCUs),Actual_Flow_UC4 (PCUs),Actual_Flow_UC5 (PCUs),Actual_Flow_UC6 (PCUs),Actual_Flow_UC7 (PCUs),Actual_Flow_UC8 (PCUs),Actual_Flow_UC9 (PCUs),Actual_Flow_UC10 (PCUs),Actual_Flow_%_HGV (%),Demand_Flow_UC1 (PCUs),Demand_Flow_UC2 (PCUs),Demand_Flow_UC3 (PCUs),Demand_Flow_UC4 (PCUs),Demand_Flow_UC5 (PCUs),Demand_Flow_UC6 (PCUs),Demand_Flow_UC7 (PCUs),Demand_Flow_UC8 (PCUs),Demand_Flow_UC9 (PCUs),Demand_Flow_UC10 (PCUs),Demand_Flow_%_HGV (%),Car_Veh_Actual_Tot,LGV_Veh_Actual_Tot,HGV_Veh_Actual_Tot,Car_PCU_Actual_Tot,LGV_PCU_Actual_Tot,HGV_PCU_Actual_Tot,Car_Veh_Demand_Tot,LGV_Veh_Demand_Tot,HGV_Veh_Demand_Tot,Car_PCU_Demand_Tot,LGV_PCU_Demand_Tot,HGV_PCU_Demand_Tot,Fixed_Tot,Fixed_PCU_Tot,Period,wkt_geom
7506-1004,7506,1004,56418,32209,56416,32201,1,48,97,0.33,652.08,34.15,7.92,15.19,22.99,222.67,222.77,0,0,23.81,17.11,4.74,2.74,7.23,46.28,63.56,13.52,26.05,17.62,0.079130552,23.82,17.12,4.74,2.75,7.23,46.31,63.59,13.52,26.06,17.63,7.91399201,178.99,26.05,7.660869565,178.99,26.05,17.62,179.08,26.06,7.665217391,179.08,26.06,17.63,0,0,IP,"LineString (56418 32209, 56416 32201)"
2014-1005,2014,1005,56419,32204,56455,32240,1,48,507,4.01,427.58,90.94,76.43,114.46,15.95,388.89,388.93,43,6,68.34,17.63,8.58,1.13,6.6,178.27,27.48,17.58,55.73,1.55,0.003985703,68.35,17.63,8.58,1.14,6.6,178.29,27.48,17.58,55.74,1.55,0.398529298,325.61,55.73,0.673913043,325.61,55.73,1.55,325.65,55.74,0.673913043,325.65,55.74,1.55,3,6,IP,"LineString (56419 32204, 56455 32240)"
2789-1005,2789,1005,56429,32241,56455,32240,1,64,260,8.48,513.4,102.08,138.93,153.56,6.1,524.09,524.13,0,4,107.33,5.06,11.29,0.71,8.14,239.38,18.31,20.83,49.39,59.66,0.11383541,107.33,5.06,11.29,0.71,8.14,239.4,18.31,20.83,49.39,59.66,11.38267224,411.05,49.39,25.93913043,411.05,49.39,59.66,411.07,49.39,25.93913043,411.07,49.39,59.66,2,4,IP,"LineString (56429 32241, 56455 32240)"
1201-1005,1201,1005,56455,32269,56455,32240,1,48,299,1.67,582,61.51,24.75,47.17,22.82,357.99,357.99,0,4,15.14,55.97,0.94,8.32,4.71,16.27,153.37,10.8,45.86,42.61,0.119025671,15.14,55.97,0.94,8.32,4.71,16.27,153.37,10.8,45.86,42.61,11.90256711,265.52,45.86,18.52608696,265.52,45.86,42.61,265.52,45.86,18.52608696,265.52,45.86,42.61,2,4,IP,"LineString (56455 32269, 56455 32240)"
7005-1005,7005,1005,56460,32241,56455,32240,2,64,48,4.6,1281.63,54.48,77.19,79.89,2.16,698.2,698.5,0,4,20.05,105.82,3.31,13.58,9.57,90.86,268.15,23.9,69.72,89.25,0.127828702,20.06,105.86,3.31,13.59,9.57,90.9,268.27,23.91,69.75,89.28,12.78167502,535.24,69.72,38.80434783,535.24,69.72,89.25,535.47,69.75,38.8173913,535.47,69.75,89.28,2,4,IP,"LineString (56460 32241, 56455 32240)"
7032-1006,7032,1006,56529,32254,56560,32263,2,64,320,0.07,2548.03,27.24,2.42,20.42,56.4,694.07,703.3,0,5.92,85.35,31.13,11.08,4.89,10.97,257.47,94.05,28.66,81.47,83.07,0.119685334,86.48,31.55,11.23,4.95,11.11,260.9,95.31,29.04,82.55,84.18,11.96928764,523.6,81.47,36.1173913,523.6,81.47,83.07,530.57,82.55,36.6,530.57,82.55,84.18,2.96,5.92,IP,"LineString (56529 32254, 56560 32263)"
1214-1006,1214,1006,56674,32298,56560,32263,1,80,1193,0,1720,35.47,5.04,58.72,73.14,610.03,610.4,26,4,41.07,59.09,5.8,7.8,8.52,132.36,158.88,21.56,62.88,108.07,0.177155222,41.1,59.13,5.8,7.81,8.53,132.44,158.98,21.57,62.92,108.13,17.71461337,435.08,62.88,46.98695652,435.08,62.88,108.07,435.36,62.92,47.01304348,435.36,62.92,108.13,2,4,IP,"LineString (56674 32298, 56560 32263)"
2013-1006,2013,1006,56564,32247,56560,32263,1,48,110,0.15,723.07,31.59,7.43,15.68,25.25,228.39,228.39,0,0,7.81,37.75,0.96,4.96,3.57,15.5,99.22,9.12,22.55,26.95,0.117999912,7.81,37.75,0.96,4.96,3.57,15.5,99.22,9.12,22.55,26.95,11.79999124,178.89,22.55,11.7173913,178.89,22.55,26.95,178.89,22.55,11.7173913,178.89,22.55,26.95,0,0,IP,"LineString (56564 32247, 56560 32263)"
5016-1008,5016,1008,56228,32175,56205,32130,1,64,497,1.3,1487.17,34.36,11.45,39.41,45.4,511.05,512.43,31,5.98,5.73,97.65,0.62,12.76,10.55,10.69,238.62,23.14,49.63,55.68,0.108952157,5.75,97.92,0.62,12.8,10.58,10.72,239.27,23.2,49.76,55.83,10.89514665,399.76,49.63,24.20869565,399.76,49.63,55.68,400.86,49.76,24.27391304,400.86,49.76,55.83,2.99,5.98,IP,"LineString (56228 32175, 56205 32130)"
1228-1008,1228,1008,56200,32102,56205,32130,1,64,303,4.03,625.32,95.31,64.48,81.53,13.38,595.97,596.03,31,6,78.68,19.32,8.97,5.38,28.23,169.36,100.46,61.66,77.7,40.21,0.067469839,78.69,19.33,8.97,5.38,28.23,169.38,100.47,61.66,77.71,40.21,6.746304716,472.06,77.7,17.4826087,472.06,77.7,40.21,472.11,77.71,17.4826087,472.11,77.71,40.21,3,6,IP,"LineString (56200 32102, 56205 32130)"
1213-1008,1213,1008,56162,32145,56205,32130,1,30,465,2.41,642.68,52,31.88,87.68,19.09,334.2,334.2,0,0,50.06,1.86,7.45,0.62,17.7,135.54,12.96,39.46,43.39,25.16,0.075284261,50.06,1.86,7.45,0.62,17.7,135.54,12.96,39.46,43.39,25.16,7.528426092,265.65,43.39,10.93913043,265.65,43.39,25.16,265.65,43.39,10.93913043,265.65,43.39,25.16,0,0,IP,"LineString (56162 32145, 56205 32130)"
2120-1009,2120,1009,56392,32169,56385,32137,1,48,333,0.01,1720,24.05,3.17,28.15,42.59,535.8,535.97,43,4,20.88,85.56,2.81,11.46,10.18,48.94,238.9,23.74,71.33,18,0.033594625,20.89,85.59,2.81,11.46,10.19,48.95,238.98,23.75,71.35,18,3.358396925,442.47,71.33,7.826086957,442.47,71.33,18,442.62,71.35,7.826086957,442.62,71.35,18,2,4,IP,"LineString (56392 32169, 56385 32137)"
7047-1009,7047,1009,56385,32126,56385,32137,1,48,108,0,1889.59,31.43,1.39,9.49,40.97,593.92,593.96,0,10,94.4,21.24,10.84,2.42,12.47,268.25,50.75,35.37,81.78,6.39,0.010759025,94.4,21.24,10.84,2.42,12.48,268.27,50.76,35.38,81.79,6.39,1.075830022,495.74,81.78,2.77826087,495.74,81.78,6.39,495.79,81.79,2.77826087,495.79,81.79,6.39,5,10,IP,"LineString (56385 32126, 56385 32137)"
2119-1009,2119,1009,56368,32147,56385,32137,1,30,195,0.04,434.61,11.05,9.17,32.57,21.55,48.04,48.04,0,0,2.05,6.11,0.57,0.84,1.33,7.92,18.97,4.23,5.52,0.5,0.010407993,2.05,6.11,0.57,0.84,1.33,7.92,18.97,4.23,5.52,0.5,1.040799334,42.02,5.52,0.217391304,42.02,5.52,0.5,42.02,5.52,0.217391304,42.02,5.52,0.5,0,0,IP,"LineString (56368 32147, 56385 32137)"
1217-1010,1217,1010,56677,32295,56629,32215,1,96,934,0,1900,55.71,8.3,43.32,77.62,1058.52,1060.4,17,13.98,46.27,116.48,5.64,21.6,23.09,105.73,396.11,49.97,127.84,151.82,0.143426671,46.35,116.69,5.65,21.63,23.13,105.92,396.82,50.06,128.07,152.09,14.34270087,764.89,127.84,66.00869565,764.89,127.84,151.82,766.25,128.07,66.12608696,766.25,128.07,152.09,6.99,13.98,IP,"LineString (56677 32295, 56629 32215)"
7014-1010,7014,1010,56536,32026,56629,32215,1,96,2111,0,1500,69.41,17.99,97.15,78.22,1041.11,1041.32,17,16,160.45,34.5,25.55,6.34,25.35,375.84,106.04,44.98,111.4,134.66,0.129342721,160.48,34.51,25.55,6.35,25.35,375.91,106.07,44.99,111.43,134.69,12.93454462,779.05,111.4,58.54782609,779.05,111.4,134.66,779.21,111.43,58.56086957,779.21,111.43,134.69,8,16,IP,"LineString (56536 32026, 56629 32215)"
1029-1011,1029,1011,56185,32071,56192,32066,2,48,86,3.71,1130.93,55.92,24.68,31.13,9.95,632.41,633.43,0,5.99,34.29,71.85,5.95,9.59,24.82,109.49,180.76,56.3,87.86,45.5,0.071946996,34.35,71.96,5.96,9.61,24.86,109.67,181.05,56.39,88,45.57,7.194165101,493.05,87.86,19.7826087,493.05,87.86,45.5,493.85,88,19.81304348,493.85,88,45.57,2.995,5.99,IP,"LineString (56185 32071, 56192 32066)"
1139-1011,1139,1011,56198,32069,56192,32066,1,32,64,0.73,471.03,22.65,29.66,36.86,6.25,106.68,106.68,0,8,4.23,7.36,0.98,2.16,5.19,15.53,40.79,15.5,6.94,0,0,4.23,7.36,0.98,2.16,5.19,15.53,40.8,15.5,6.94,0,0,91.74,6.94,0,91.74,6.94,0,91.75,6.94,0,91.75,6.94,0,4,8,IP,"LineString (56198 32069, 56192 32066)"
1014-1011,1014,1011,56194,32053,56192,32066,1,48,132,2.14,1365.14,44.94,14.94,24.84,19.13,613.5,613.54,0,10,75.57,20.28,9.43,5.71,28.59,171.06,108.41,64.07,79.94,40.45,0.06593317,75.57,20.28,9.43,5.71,28.59,171.07,108.42,64.08,79.94,40.45,6.592887179,483.12,79.94,17.58695652,483.12,79.94,40.45,483.15,79.94,17.58695652,483.15,79.94,40.45,5,10,IP,"LineString (56194 32053, 56192 32066)"
7048-1013,7048,1013,56359,32073,56362,32076,1,48,37,0.04,2319.96,20.34,1.71,4.48,29.71,471.84,471.88,0,10,86.42,8.92,9.62,1.36,12.08,222.93,35.03,35.38,49.62,0.47,0.0009961,86.43,8.92,9.62,1.36,12.08,222.95,35.03,35.39,49.62,0.47,0.099601594,411.74,49.62,0.204347826,411.74,49.62,0.47,411.78,49.62,0.204347826,411.78,49.62,0.47,5,10,IP,"LineString (56359 32073, 56362 32076)"
5003-1013,5003,1013,56355,32087,56362,32076,1,30,130,0.02,444.83,7.03,8.72,24.32,19.24,31.27,31.27,0,0,2.53,0.52,0.74,0.24,1.31,12.21,5.17,6.4,1.73,0.42,0.013431404,2.53,0.52,0.74,0.24,1.31,12.21,5.17,6.4,1.73,0.42,1.34314039,29.12,1.73,0.182608696,29.12,1.73,0.42,29.12,1.73,0.182608696,29.12,1.73,0.42,0,0,IP,"LineString (56355 32087, 56362 32076)"
7047-1013,7047,1013,56385,32126,56362,32076,1,48,562,0,1428.22,38.68,5.69,47.84,42.29,552.42,552.59,43,6,20.28,86.92,2.82,11.77,10.42,49.39,248.12,25.39,73.47,17.84,0.032294269,20.29,86.95,2.82,11.78,10.42,49.41,248.2,25.39,73.49,17.85,3.230243037,455.11,73.47,7.756521739,455.11,73.47,17.84,455.26,73.49,7.760869565,455.26,73.49,17.85,3,6,IP,"LineString (56385 32126, 56362 32076)"
2032-1013,2032,1013,56386,32076,56362,32076,1,32,245,0.33,660,20.88,14.06,41.62,21.19,259.01,259.03,46,0,21.28,18.77,3.46,2.78,8.52,81.68,55.58,25.16,35.69,6.1,0.023551214,21.28,18.77,3.46,2.78,8.52,81.69,55.58,25.16,35.69,6.1,2.354939582,217.23,35.69,2.652173913,217.23,35.69,6.1,217.24,35.69,2.652173913,217.24,35.69,6.1,0,0,IP,"LineString (56386 32076, 56362 32076)"
1034-1014,1034,1014,56202,32040,56194,32053,1,48,163,1.11,1069.65,33.21,13.72,25.95,22.61,355.2,355.23,0,10,14.73,19.46,2.6,5.6,22.08,43.75,106.44,49.31,52.56,28.67,0.08071509,14.73,19.46,2.6,5.6,22.09,43.75,106.45,49.31,52.56,28.68,8.073642429,263.97,52.56,12.46521739,263.97,52.56,28.67,263.99,52.56,12.46956522,263.99,52.56,28.68,5,10,IP,"LineString (56202 32040, 56194 32053)"
2012-1014,2012,1014,56183,32055,56194,32053,2,32,113,1.62,834.48,30.95,27.83,40.54,10.03,258.3,258.32,0,0,60.84,0.82,6.83,0.1,6.5,127.31,1.97,14.77,27.38,11.78,0.045605885,60.85,0.82,6.83,0.1,6.5,127.32,1.97,14.77,27.38,11.78,4.560235367,219.14,27.38,5.12173913,219.14,27.38,11.78,219.16,27.38,5.12173913,219.16,27.38,11.78,0,0,IP,"LineString (56183 32055, 56194 32053)"
1011-1014,1011,1014,56192,32066,56194,32053,2,48,132,0.94,2324.08,27.32,7.39,17.29,27.48,635.05,635.96,0,13.98,25.5,74.57,5.2,10.71,22.61,91.9,201.55,54.43,89.09,45.5,0.071647902,25.54,74.68,5.2,10.72,22.64,92.04,201.84,54.51,89.22,45.57,7.165545003,486.47,89.09,19.7826087,486.47,89.09,45.5,487.17,89.22,19.81304348,487.17,89.22,45.57,6.99,13.98,IP,"LineString (56192 32066, 56194 32053)"
4010-1015,4010,1015,56236,32037,56257,32049,1,48,261,1.88,1145.49,45.57,14.76,34.34,27.36,522.01,522.28,0,49.97,82.07,6.44,10.46,1.55,23.06,193.75,31.78,66.81,50.17,5.95,0.011398249,82.11,6.44,10.47,1.55,23.07,193.85,31.8,66.84,50.2,5.96,1.141150341,415.92,50.17,2.586956522,415.92,50.17,5.95,416.13,50.2,2.591304348,416.13,50.2,5.96,24.985,49.97,IP,"LineString (56236 32037, 56257 32049)"
1120-1015,1120,1015,56253,32070,56257,32049,1,48,204,1.22,771.99,42.71,16.13,31.43,23.36,329.69,329.81,0,0,32.67,12.84,5.92,3.63,15.13,95.04,88.69,40.29,35.48,0,0,32.69,12.85,5.93,3.63,15.13,95.07,88.72,40.3,35.49,0,0,294.21,35.48,0,294.21,35.48,0,294.32,35.49,0,294.32,35.49,0,0,0,IP,"LineString (56253 32070, 56257 32049)"
1016-1015,1016,1015,56281,32044,56257,32049,2,48,245,1.31,1616.67,40.77,29.23,47.6,18.53,659.04,659.09,0,48,32.7,54.11,5.69,9.9,30.92,108.75,207.8,91.04,65.4,4.72,0.007161933,32.7,54.11,5.7,9.9,30.93,108.76,207.82,91.04,65.41,4.72,0.716138919,540.91,65.4,2.052173913,540.91,65.4,4.72,540.96,65.41,2.052173913,540.96,65.41,4.72,24,48,IP,"LineString (56281 32044, 56257 32049)"
4012-1016,4012,1016,56296,32048,56281,32044,1,40,158,4.17,1123.07,73.45,24.18,38.4,14.81,824.93,824.99,0,48,41.74,84.74,6.9,13.7,36.41,132.31,290.76,103.28,67.1,0,0,41.74,84.74,6.9,13.7,36.41,132.32,290.78,103.29,67.1,0,0,709.84,67.1,0,709.84,67.1,0,709.88,67.1,0,709.88,67.1,0,24,48,IP,"LineString (56296 32048, 56281 32044)"
7044-1016,7044,1016,56280,32028,56281,32044,1,40,160,2.11,795.11,49.5,23.3,37.7,15.28,393.54,393.57,0,0,46.64,15.79,6.83,3.61,13.87,130.5,79.18,39.52,52.88,4.72,0.011993698,46.65,15.8,6.83,3.61,13.87,130.51,79.18,39.52,52.88,4.72,1.1992784,335.94,52.88,2.052173913,335.94,52.88,4.72,335.97,52.88,2.052173913,335.97,52.88,4.72,0,0,IP,"LineString (56280 32028, 56281 32044)"
1015-1016,1015,1016,56257,32049,56281,32044,1,48,245,1.81,1466.74,50.34,11.25,29.63,29.77,738.37,738.71,0,49.98,107.79,16.7,13.92,4.53,32.9,251.9,96.07,85.96,72.66,5.95,0.008058291,107.84,16.71,13.93,4.53,32.92,252.01,96.11,86,72.69,5.96,0.806811875,609.77,72.66,2.586956522,609.77,72.66,5.95,610.05,72.69,2.591304348,610.05,72.69,5.96,24.99,49.98,IP,"LineString (56257 32049, 56281 32044)"
1020-1018,1020,1018,56334,31996,56338,32047,1,32,500,3.02,577.68,54.8,41.22,97.47,18.47,312.56,312.56,0,0,34.89,4.81,6.88,1.58,12.93,122.6,52,48.61,28.12,0.15,0.000479908,34.89,4.81,6.88,1.58,12.93,122.6,52,48.61,28.12,0.15,0.047990786,284.3,28.12,0.065217391,284.3,28.12,0.15,284.3,28.12,0.065217391,284.3,28.12,0.15,0,0,IP,"LineString (56334 31996, 56338 32047)"
2147-1018,2147,1018,56331,32049,56338,32047,2,40,85,0.92,1682.86,50.2,6.07,13.72,22.31,844.72,844.87,0,49.99,135.21,22.96,16.11,5.05,33.66,304.46,114.52,92.58,70.02,0.15,0.000177574,135.24,22.97,16.11,5.05,33.67,304.51,114.54,92.59,70.04,0.15,0.017754211,724.55,70.02,0.065217391,724.55,70.02,0.15,724.68,70.04,0.065217391,724.68,70.04,0.15,24.995,49.99,IP,"LineString (56331 32049, 56338 32047)"
1019-1018,1019,1018,56346,32048,56338,32047,2,40,90,6.01,1025.04,80.63,35.01,43.11,7.51,826.43,826.54,0,43.99,31.57,112.82,5.16,17.06,33.57,99.92,333.61,82.43,66.29,0,0,31.58,112.84,5.16,17.06,33.58,99.93,333.65,82.44,66.3,0,0,716.14,66.29,0,716.14,66.29,0,716.24,66.3,0,716.24,66.3,0,21.995,43.99,IP,"LineString (56346 32048, 56338 32047)"
1018-1019,1018,1019,56338,32047,56346,32048,2,40,90,2.8,2000.56,43.67,15.93,24.03,13.48,869.74,869.87,0,49.99,151.05,19.97,18.33,4.23,31.48,345.86,93.87,81.16,73.79,0,0,151.08,19.97,18.33,4.23,31.49,345.91,93.88,81.17,73.8,0,0,745.95,73.79,0,745.95,73.79,0,746.06,73.8,0,746.06,73.8,0,24.995,49.99,IP,"LineString (56338 32047, 56346 32048)"
2031-1019,2031,1019,56347,32052,56346,32048,2,48,43,3.09,1230.4,41.19,24.37,27.6,5.61,506.82,506.91,0,6,23.48,62.2,6.77,11.33,20.37,93.44,178.46,45.82,50.93,8.02,0.015824158,23.49,62.21,6.77,11.33,20.37,93.46,178.49,45.83,50.94,8.03,1.584107633,441.87,50.93,3.486956522,441.87,50.93,8.02,441.95,50.94,3.491304348,441.95,50.94,8.03,3,6,IP,"LineString (56347 32052, 56346 32048)"
7042-1019,7042,1019,56383,32045,56346,32048,1,40,372,3.53,1058.84,58.91,24.5,57.98,23.1,623.75,623.81,0,46,24.91,63.75,4.3,11.55,29.46,80.92,225.01,79.59,49.3,8.97,0.014380762,24.91,63.76,4.3,11.55,29.47,80.93,225.03,79.6,49.31,8.97,1.437937834,519.49,49.3,3.9,519.49,49.3,8.97,519.55,49.31,3.9,519.55,49.31,8.97,23,46,IP,"LineString (56383 32045, 56346 32048)"
1018-1020,1018,1020,56338,32047,56334,31996,1,32,500,0,1730,17.18,0,56.25,32,297.14,297.18,0,0,9.13,35.11,3.01,5.73,12.69,49.85,116.03,41.39,24.06,0.15,0.000504813,9.13,35.11,3.01,5.74,12.69,49.86,116.04,41.39,24.06,0.15,0.05047446,272.94,24.06,0.065217391,272.94,24.06,0.15,272.97,24.06,0.065217391,272.97,24.06,0.15,0,0,IP,"LineString (56338 32047, 56334 31996)"
2992-1020,2992,1020,56353,31980,56334,31996,1,32,267,0,1730,18.07,0,30.04,32,312.56,312.56,0,0,34.89,4.81,6.88,1.58,12.93,122.6,52,48.61,28.12,0.15,0.000479908,34.89,4.81,6.88,1.58,12.93,122.6,52,48.61,28.12,0.15,0.047990786,284.3,28.12,0.065217391,284.3,28.12,0.15,284.3,28.12,0.065217391,284.3,28.12,0.15,0,0,IP,"LineString (56353 31980, 56334 31996)"
5018-1021,5018,1021,56434,32039,56394,32044,1,40,407,0.18,1098.73,76.98,9.09,45.72,32.05,845.84,845.92,0,26,47.38,79.42,7.66,13.78,37.46,158.31,271.86,103.51,84.14,16.32,0.019294429,47.39,79.43,7.66,13.78,37.46,158.33,271.89,103.52,84.15,16.32,1.92926045,719.38,84.14,7.095652174,719.38,84.14,16.32,719.46,84.15,7.095652174,719.46,84.15,16.32,13,26,IP,"LineString (56434 32039, 56394 32044)"
7042-1021,7042,1021,56383,32045,56394,32044,1,40,112,0,1900,28.7,1.33,11.41,35.34,545.38,545.46,0,28,83.28,10.89,14.49,5.91,29.56,195.97,63.46,58.99,46.82,8.02,0.014705343,83.29,10.89,14.49,5.91,29.56,196,63.47,59,46.83,8.03,1.472151945,462.55,46.82,3.486956522,462.55,46.82,8.02,462.61,46.83,3.491304348,462.61,46.83,8.03,14,28,IP,"LineString (56383 32045, 56394 32044)"
