Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed,Distance,Average_Q,Capacity,V_C,Delay,Total_Time,Net_Speed,CalValFlag,AllObs,AllMod,AllDiff,AllGEH,AllFlowTest,CarObs,CarMod,CarDiff,CarGEH,CarFlowTest,LGVObs,LGVMod,LGVDiff,LGVGEH,LGVFlowTest,HGVObs,HGVMod,HGVDiff,HGVGEH,HGVFlowTest
2677-2880,2677,2880,559720,311290,559710,311470,1,48,184,0,1730,6.77,13.12,26.92,24.61,,,,,,,,,,,,,,,,,,,,,
2706-2880,2706,2880,559710,311760,559710,311470,1,80,316,0,1730,7.36,13.12,27.34,41.6,,,,,,,,,,,,,,,,,,,,,
2661-2881,2661,2881,574660,310490,574610,310070,1,80,190,0,1730,3.74,0,8.55,80,,,,,,,,,,,,,,,,,,,,,
2691-2881,2691,2881,574290,308230,574610,310070,1,80,2110,0,1730,2.99,0,94.95,80,,,,,,,,,,,,,,,,,,,,,
2808-2882,2808,2882,554730,313790,555410,313240,1,48,900,0,977,5.87,0.12,67.62,47.91,Validation,60.69426078,55.64652174,-5.047739036,-0.661829165,Pass Low,47.66995825,48.57,0.90004175,0.129747781,Pass Low,7.831835265,5.82,-2.011835265,-0.770037535,Pass Low,5.192467261,1.256521739,-3.935945522,-2.191887492,Pass Low
1337-2882,1337,2882,557130,312440,555410,313240,1,48,1900,0,977,5.93,0.26,142.76,47.91,,,,,,,,,,,,,,,,,,,,,
1224-2885,1224,2885,563510,318030,563940,317470,1,80,741,0,1730,42.78,5.37,38.72,68.9,Calibration,670.0752737,683.9134783,13.83820455,0.531847614,Pass Low,545.4624426,559.92,14.45755737,0.614969591,Pass Low,89.61560175,85.45,-4.16560175,-0.445238114,Pass Low,34.99722934,38.54347826,3.546248923,0.584817436,Pass Low
2505-2885,2505,2885,564210,317050,563940,317470,1,80,500,0,1730,40.19,3.28,25.78,69.82,,,,,,,,,,,,,,,,,,,,,
2846-2892,2846,2892,551080,304530,546580,304740,1,64,5600,0,1720,0.13,0,315,64,,,,,,,,,,,,,,,,,,,,,
2826-2893,2826,2893,546190,309930,546070,309920,2,64,90,0,3460,5.82,0.55,5.61,57.71,,,,,,,,,,,,,,,,,,,,,
2110-2893,2110,2893,539800,303010,546070,309920,1,56,9700,0,660.4,0,5.95,629.52,55.47,,,,,,,,,,,,,,,,,,,,,
2893-2894,2893,2894,546070,309920,546060,309970,1,64,90,0,1730,11.63,0,5.06,64,,,,,,,,,,,,,,,,,,,,,
2824-2894,2824,2894,545220,310650,546060,309970,1,64,1163,0,1730,11.37,0,65.42,64,,,,,,,,,,,,,,,,,,,,,
2670-2895,2670,2895,560280,307000,554040,304730,1,80,6526,0.23,749.67,8.16,15.97,309.64,75.87,Calibration,48.74455121,58.64173913,9.897187916,1.350679766,Pass Low,37.50701462,49.72,12.21298538,1.849316867,Pass Low,6.162135872,7,0.837864128,0.326606941,Pass Low,5.075400726,1.92173913,-3.153661596,-1.686047517,Pass Low
2860-2895,2860,2895,552790,304340,554040,304730,1,80,1674,0.15,749.67,6.01,15.06,90.39,66.67,,,,,,,,,,,,,,,,,,,,,
1346-2896,1346,2896,555000,319940,555080,319010,1,48,927,0.22,495.65,43.85,10.29,79.81,41.81,,,,,,,,,,,,,,,,,,,,,
1340-2896,1340,2896,557290,319130,555080,319010,1,96,2200,0.16,1670.12,57.59,3.75,86.25,91.83,Calibration,733.1111111,821.6408696,88.52975845,3.175219242,Pass Mid,577.1237411,580.58,3.45625887,0.143655594,Pass Low,94.93181443,133.2,38.26818557,3.583108357,Pass Low,61.05555556,107.8608696,46.80531401,5.09300638,Pass Low
1341-2896,1341,2896,554990,319010,555080,319010,1,96,81,0,1742,24.49,1.25,4.29,67.94,,,,,,,,,,,,,,,,,,,,,
2991-2990,2991,2990,563480,319350,563840,319180,1,32,411,0,1250,16.57,0,46.24,32,,,,,,,,,,,,,,,,,,,,,
2070-2991,2070,2991,563370,318940,563480,319350,1,32,400,0,1730,11.97,0,45,32,,,,,,,,,,,,,,,,,,,,,
2990-2991,2990,2991,563840,319180,563480,319350,1,32,411,0,1730,24.08,0,46.24,32,,,,,,,,,,,,,,,,,,,,,
1020-2992,1020,2992,563340,319960,563530,319800,1,32,267,0,1250,23.77,0,30.04,32,,,,,,,,,,,,,,,,,,,,,
2995-2993,2995,2993,564280,319710,564200,319420,1,32,387,0,1250,12.7,0,43.54,32,,,,,,,,,,,,,,,,,,,,,
2853-2994,2853,2994,564540,316470,564640,316430,1,30,100,0,1250,5.94,0,12,30,,,,,,,,,,,,,,,,,,,,,
2996-2995,2996,2995,564550,319680,564280,319710,1,48,337,0,1650.96,12.04,1.24,26.51,45.76,,,,,,,,,,,,,,,,,,,,,
2993-2995,2993,2995,564200,319420,564280,319710,1,32,387,0.03,623.68,28.76,7.24,50.78,27.44,,,,,,,,,,,,,,,,,,,,,
5019-2995,5019,2995,564290,319820,564280,319710,1,48,119,0.01,992.47,22.46,3.95,12.87,33.27,,,,,,,,,,,,,,,,,,,,,
