Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed,Distance,Average_Q,Capacity,V_C,Delay,Total_Time,Net_Speed,CalValFlag,AllObs,AllMod,AllDiff,AllGEH,AllFlowTest,CarObs,CarMod,CarDiff,CarGEH,CarFlowTest,LGVObs,LGVMod,LGVDiff,LGVGEH,LGVFlowTest,HGVObs,HGVMod,HGVDiff,HGVGEH,HGVFlowTest
7005-1005,7005,1005,564600,322410,564550,322400,2,64,48,6.06,1821.6,45.91,36.15,38.85,4.45,Calibration,816,807.2491304,-8.750869565,-0.307166337,Pass Mid,709,713.44,4.44,0.166487254,Pass Mid,75,74.57,-0.43,-0.049723445,Pass Low,32,19.23913043,-12.76086957,-2.521125075,Pass Low
7032-1006,7032,1006,565290,322540,565600,322630,2,64,320,0.07,2484.26,29.93,2.23,20.23,56.93,,,,,,,,,,,,,,,,,,,,,
1214-1006,1214,1006,566740,322980,565600,322630,1,80,1193,0,1720,47.8,10.12,63.8,67.31,Calibration,740,770.2486957,30.24869565,1.100772105,Pass Mid,622,634.31,12.31,0.491161868,Pass Low,82,99.13,17.13,1.800019323,Pass Low,36,36.80869565,0.808695652,0.134031995,Pass Low
2013-1006,2013,1006,565640,322470,565600,322630,1,48,110,0.28,617.98,40.89,9.09,17.34,22.84,,,,,,,,,,,,,,,,,,,,,
5016-1008,5016,1008,562280,321750,562050,321300,1,64,497,2.51,1681.71,50.35,15.66,43.62,41.02,,,,,,,,,,,,,,,,,,,,,
1228-1008,1228,1008,562000,321020,562050,321300,1,64,303,4.12,645.84,85.32,45.11,62.16,17.55,Calibration,499.25,517.0078261,17.75782609,0.78777618,Pass Low,417.2014706,418.52,1.318529419,0.064502128,Pass Low,76.54852942,76.94,0.391470581,0.044686482,Pass Low,5.5,21.54782609,16.04782609,4.363801873,Pass Low
1213-1008,1213,1008,561620,321450,562050,321300,1,30,465,1.45,436.06,36.8,38.95,94.75,17.67,,,,,,,,,,,,,,,,,,,,,
2120-1009,2120,1009,563920,321690,563850,321370,1,48,333,0,1720,35.93,5.57,30.54,39.25,,,,,,,,,,,,,,,,,,,,,
7047-1009,7047,1009,563850,321260,563850,321370,1,48,108,0,1888.5,24.6,1.26,9.36,41.52,,,,,,,,,,,,,,,,,,,,,
2119-1009,2119,1009,563680,321470,563850,321370,1,30,195,0.17,394.07,31.63,11.43,34.83,20.16,,,,,,,,,,,,,,,,,,,,,
1217-1010,1217,1010,566770,322950,566290,322150,1,96,934,0,1900,59.2,9.65,44.68,75.26,,,,,,,,,,,,,,,,,,,,,
7014-1010,7014,1010,565360,320260,566290,322150,1,96,2111,0,1500,58.2,11.58,90.74,83.75,Calibration,817,768.9182609,-48.08173913,-1.70747662,Pass Mid,541,521.32,-19.68,-0.853910616,Pass Low,190,179.82,-10.18,-0.748630607,Pass Low,86,67.77826087,-18.22173913,-2.078056494,Pass Low
1029-1011,1029,1011,561850,320710,561920,320660,2,48,86,3.54,1412.89,57.18,18.72,25.17,12.3,Validation,803,778.3230435,-24.67695652,-0.877599352,Pass Mid,722,633.3,-88.7,-3.407382578,Pass Mid,79,126.91,47.91,4.721744133,Pass Low,2,18.11304348,16.11304348,5.08105248,Pass Low
1139-1011,1139,1011,561980,320690,561920,320660,1,32,64,1.34,348.3,44.61,40.17,47.37,4.86,Validation,135,147.37,12.37,1.041059186,Pass Low,126,141.28,15.28,1.321767657,Pass Low,8,6.09,-1.91,-0.71960284,Pass Low,1,0,-1,-1.414213562,Pass Low
1014-1011,1014,1011,561940,320530,561920,320660,1,48,132,1.17,1466.16,38.66,9.43,19.33,24.59,Validation,534,528.4534783,-5.546521739,-0.240647168,Pass Low,417,420.59,3.59,0.175425896,Pass Low,107,86.02,-20.98,-2.135597118,Pass Low,10,21.84347826,11.84347826,2.968137495,Pass Low
7048-1013,7048,1013,563590,320730,563620,320760,1,48,37,0.08,2286.45,17.39,2.23,5.01,26.6,,,,,,,,,,,,,,,,,,,,,
5003-1013,5003,1013,563550,320870,563620,320760,1,30,130,0.04,400.8,9.09,9.73,25.33,18.48,,,,,,,,,,,,,,,,,,,,,
7047-1013,7047,1013,563850,321260,563620,320760,1,48,562,0,1563.37,54.42,11.43,53.58,37.76,Calibration,819.625,840.2004348,20.57543478,0.714221322,Pass Mid,689.0689605,706.77,17.70103948,0.670032873,Pass Low,126.4310395,129.9,3.468960525,0.306417635,Pass Low,4.125,3.530434783,-0.594565217,-0.303899207,Pass Low
2032-1013,2032,1013,563860,320760,563620,320760,1,32,245,0.4,660,30.83,14.14,41.7,21.15,,,,,,,,,,,,,,,,,,,,,
1034-1014,1034,1014,562020,320400,561940,320530,1,48,163,1.48,1100,41.79,14.38,26.61,22.05,,,,,,,,,,,,,,,,,,,,,
2012-1014,2012,1014,561830,320550,561940,320530,2,32,113,0.65,882.22,12.15,25.79,38.5,10.57,,,,,,,,,,,,,,,,,,,,,
1011-1014,1011,1014,561920,320660,561940,320530,2,48,132,0.76,2111.64,40.07,6.45,16.35,29.07,Validation,849,808.7030435,-40.29695652,-1.399696502,Pass Mid,765,668.66,-96.34,-3.598309833,Pass Mid,82,121.93,39.93,3.954337638,Pass Low,2,18.11304348,16.11304348,5.08105248,Pass Low
4010-1015,4010,1015,562360,320370,562570,320490,1,48,261,1.45,889.49,37.85,17.35,36.92,25.45,Calibration,283.5555556,284.9943478,1.438792271,0.085335316,Pass Low,238.561786,244.09,5.528213953,0.355863038,Pass Low,43.77154729,39.6,-4.171547286,-0.646105202,Pass Low,1.222222222,1.304347826,0.082125604,0.073068115,Pass Low
1120-1015,1120,1015,562530,320700,562570,320490,1,48,204,1.02,938.31,37.71,12.72,28.02,26.21,Validation,349,353.84,4.84,0.258185664,Pass Low,314,304.29,-9.71,-0.552253042,Pass Low,35,49.55,14.55,2.237799565,Pass Low,0,0,0,0,Pass Low
1016-1015,1016,1015,562810,320440,562570,320490,2,48,245,1.4,1635,46.55,13.64,32.01,27.55,Validation,588,710.616087,122.616087,4.811960581,Fail Low,518,627.13,109.13,4.560702639,Fail Low,63,81.56,18.56,2.183076225,Pass Low,7,1.926086957,-5.073913043,-2.40174813,Pass Low
4012-1016,4012,1016,562960,320480,562810,320440,1,40,158,4,1330.18,69.98,19.96,34.18,16.64,Validation,811,882.87,71.87,2.469577186,Pass Mid,730,806.54,76.54,2.761413988,Pass Mid,77,76.33,-0.67,-0.076520224,Pass Low,4,0,-4,-2.828427125,Pass Low
7044-1016,7044,1016,562800,320280,562810,320440,1,40,160,2.35,740.73,54.5,26.26,40.66,14.17,Validation,404,401.156087,-2.843913043,-0.141739622,Pass Low,342,336.08,-5.92,-0.321511297,Pass Low,57,63.15,6.15,0.793465825,Pass Low,5,1.926086957,-3.073913043,-1.651819565,Pass Low
1015-1016,1015,1016,562570,320490,562810,320440,1,48,245,1.53,1405.34,42.08,11.29,29.66,29.74,Validation,443,539.6343478,96.63434783,4.359639185,Pass Low,384,463.77,79.77,3.874499131,Pass Low,56,74.56,18.56,2.2971423,Pass Low,3,1.304347826,-1.695652174,-1.155840984,Pass Low
1020-1018,1020,1018,563340,319960,563380,320470,1,32,500,4.21,506.61,80.08,54.46,110.71,16.26,Calibration,399,401.2013043,2.201304348,0.110051372,Pass Low,355,358.24,3.24,0.17157032,Pass Low,42,42.57,0.57,0.087656008,Pass Low,2,0.391304348,-1.608695652,-1.471199129,Pass Low
2147-1018,2147,1018,563310,320490,563380,320470,2,40,85,1.1,1735,37.76,7.73,15.38,19.9,Calibration,615,604.6413043,-10.35869565,-0.419472997,Pass Low,547,539.45,-7.55,-0.323934405,Pass Low,64,64.8,0.8,0.099688957,Pass Low,4,0.391304348,-3.608695652,-2.435389814,Pass Low
1019-1018,1019,1018,563460,320480,563380,320470,2,40,90,7.02,1117.32,91.09,38.49,46.59,6.95,Calibration,978,973.73,-4.27,-0.136688823,Pass Mid,906,906.2,0.2,0.006644188,Pass Mid,69,67.53,-1.47,-0.177917344,Pass Low,3,0,-3,-2.449489743,Pass Low
1018-1019,1018,1019,563380,320470,563460,320480,2,40,90,2.9,1672.78,42.41,21.1,29.2,11.1,Calibration,665,655.43,-9.57,-0.372451085,Pass Low,587,581.31,-5.69,-0.235422636,Pass Low,73,74.12,1.12,0.130586163,Pass Low,5,0,-5,-3.16227766,Pass Low
2031-1019,2031,1019,563470,320520,563460,320480,2,48,43,3.87,1425.74,49.46,22.07,25.29,6.12,Calibration,678,696.25,18.25,0.696217594,Pass Low,630,644.04,14.04,0.556276321,Pass Low,46,50.01,4.01,0.578763502,Pass Low,2,2.2,0.2,0.138013112,Pass Low
7042-1019,7042,1019,563830,320450,563460,320480,1,40,372,3.61,1079.49,58.02,24.72,58.2,23.01,Calibration,578,576.3947826,-1.605217391,-0.066814647,Pass Low,517,518.6,1.6,0.070313539,Pass Low,55,54.76,-0.24,-0.032396955,Pass Low,6,3.034782609,-2.965217391,-1.395123592,Pass Low
1018-1020,1018,1020,563380,320470,563340,319960,1,32,500,0,1730,25.22,0,56.25,32,Calibration,438,435.8313043,-2.168695652,-0.103752796,Pass Low,411,410.62,-0.38,-0.018748352,Pass Low,25,24.82,-0.18,-0.036064975,Pass Low,2,0.391304348,-1.608695652,-1.471199129,Pass Low
2992-1020,2992,1020,563530,319800,563340,319960,1,32,267,0,1730,23.22,0,30.04,32,,,,,,,,,,,,,,,,,,,,,
5018-1021,5018,1021,564340,320390,563940,320440,1,40,407,0.13,1142.3,72.39,7.33,43.96,33.33,,,,,,,,,,,,,,,,,,,,,
7042-1021,7042,1021,563830,320450,563940,320440,1,40,112,0,1900,27.12,1.3,11.38,35.43,,,,,,,,,,,,,,,,,,,,,
2032-1021,2032,1021,563860,320760,563940,320440,1,32,414,0.25,498.22,54.55,17.47,64.04,23.27,,,,,,,,,,,,,,,,,,,,,
1042-1024,1042,1024,562100,320240,562000,320220,1,30,100,0,1250,27.93,0,12,30,,,,,,,,,,,,,,,,,,,,,
1094-1026,1094,1026,563170,318360,562970,318280,1,30,500,0,1250,29.57,0,60,30,Calibration,388,365.2904348,-22.70956522,-1.17015284,Pass Low,330,308.34,-21.66,-1.212404167,Pass Low,56,53.62,-2.38,-0.32147489,Pass Low,2,3.330434783,1.330434783,0.81494307,Pass Low
1128-1028,1128,1028,562010,319500,562090,319470,1,32,84,0,1980,5.91,0,9.45,32,,,,,,,,,,,,,,,,,,,,,
1072-1028,1072,1028,562240,319470,562090,319470,1,32,150,0,1980,4.45,0,16.88,32,Calibration,90,88.03304348,-1.966956522,-0.208477625,Pass Low,81,80.67,-0.33,-0.036704069,Pass Low,9,7.35,-1.65,-0.577085369,Pass Low,0,0.013043478,0.013043478,0.161514571,Pass Low
1228-1029,1228,1029,562000,321020,561850,320710,1,64,341,0.02,1720,39.39,3.48,22.67,54.16,,,,,,,,,,,,,,,,,,,,,
1011-1029,1011,1029,561920,320660,561850,320710,1,48,86,0,1880.13,32.54,1.42,7.87,39.35,Validation,544,577.4434783,33.44347826,1.412335068,Pass Low,435,469.27,34.27,1.611684543,Pass Low,98,86.33,-11.67,-1.215592025,Pass Low,11,21.84347826,10.84347826,2.675833205,Pass Low
1212-1029,1212,1029,561510,320830,561850,320710,1,30,359,0.03,355.31,5.95,10.77,53.85,24,,,,,,,,,,,,,,,,,,,,,
5001-1030,5001,1030,561630,320110,561660,320370,1,32,267,0,1100,15.48,0,30.04,32,Calibration,155.3333333,168.5543478,13.22101449,1.038921094,Pass Low,130.2184956,143.15,12.93150443,1.106088353,Pass Low,23.89261554,24.1,0.207384461,0.042335432,Pass Low,1.222222222,1.304347826,0.082125604,0.073068115,Pass Low
1031-1030,1031,1030,561790,320430,561660,320370,1,32,148,0,1100,17.3,0,16.65,32,,,,,,,,,,,,,,,,,,,,,
2012-1031,2012,1031,561830,320550,561790,320430,1,32,130,0.01,1116.55,36.12,3.65,18.28,25.6,,,,,,,,,,,,,,,,,,,,,
1032-1031,1032,1031,561810,320380,561790,320430,1,32,53,0,1704.86,5.97,1.12,7.09,26.93,,,,,,,,,,,,,,,,,,,,,
1030-1031,1030,1031,561660,320370,561790,320430,1,32,148,0.08,784.4,21.7,3.91,20.56,25.92,,,,,,,,,,,,,,,,,,,,,
1031-1032,1031,1032,561790,320430,561810,320380,1,32,53,0.05,1532.36,24.66,4.7,10.66,17.89,,,,,,,,,,,,,,,,,,,,,
1033-1032,1033,1032,561930,320380,561810,320380,1,32,119,0,534.99,60.63,8.49,21.87,19.59,,,,,,,,,,,,,,,,,,,,,
5012-1032,5012,1032,561820,320310,561810,320380,1,32,100,0.02,641.16,17.7,6.63,17.88,20.14,,,,,,,,,,,,,,,,,,,,,
1032-1033,1032,1033,561810,320380,561930,320380,1,32,119,0,1100,8.09,1.78,15.17,28.24,,,,,,,,,,,,,,,,,,,,,
1034-1033,1034,1033,562020,320400,561930,320380,1,32,98,0,1100,20.66,2.06,13.09,26.96,,,,,,,,,,,,,,,,,,,,,
4009-1033,4009,1033,561950,320240,561930,320380,1,32,140,0.09,200,48.58,13.1,28.85,17.47,,,,,,,,,,,,,,,,,,,,,
1014-1034,1014,1034,561940,320530,562020,320400,1,48,163,0,1977.66,22.39,1.17,13.4,43.79,,,,,,,,,,,,,,,,,,,,,
1035-1034,1035,1034,562070,320360,562020,320400,1,48,57,0,1789.09,38.39,1.63,5.91,34.74,,,,,,,,,,,,,,,,,,,,,
1033-1034,1033,1034,561930,320380,562020,320400,1,32,98,0.13,312.83,28.46,13.02,24.05,14.67,,,,,,,,,,,,,,,,,,,,,
1039-1035,1039,1035,562090,320280,562070,320360,3,40,84,4.69,1796.36,57.56,22.48,30.04,10.07,,,,,,,,,,,,,,,,,,,,,
1034-1035,1034,1035,562020,320400,562070,320360,2,48,57,1.66,1596.97,33.3,12.69,16.96,12.1,,,,,,,,,,,,,,,,,,,,,
7039-1039,7039,1039,562090,320270,562090,320280,4,40,22,0,6342.26,19.36,0.54,2.52,31.41,,,,,,,,,,,,,,,,,,,,,
2006-1040,2006,1040,562110,320380,562230,320320,2,40,152,2.71,1560,50.35,17.17,30.85,17.74,,,,,,,,,,,,,,,,,,,,,
4008-1040,4008,1040,562330,320350,562230,320320,2,48,102,3.35,780,71.07,29.65,37.3,9.84,Calibration,509,508.4413043,-0.558695652,-0.024770548,Pass Low,461,460.95,-0.05,-0.002328795,Pass Low,46,46,0,0,Pass Low,2,1.491304348,-0.508695652,-0.385016347,Pass Low
1039-1040,1039,1040,562090,320280,562230,320320,1,40,147,0.7,170,56.94,49.93,63.16,8.38,,,,,,,,,,,,,,,,,,,,,
1044-1042,1044,1042,562120,320160,562100,320240,4,40,77,0,6300,22.58,0.29,7.22,38.37,,,,,,,,,,,,,,,,,,,,,
1024-1042,1024,1042,562000,320220,562100,320240,1,30,100,0.18,428.98,32.71,10.87,22.87,15.74,,,,,,,,,,,,,,,,,,,,,
1045-1044,1045,1044,562250,320160,562120,320160,2,40,133,1.8,853.33,41.92,21.79,33.76,14.18,,,,,,,,,,,,,,,,,,,,,
1046-1044,1046,1044,562120,320100,562120,320160,3,40,54,2.14,2720,38.72,8.3,13.16,14.78,,,,,,,,,,,,,,,,,,,,,
1040-1045,1040,1045,562230,320320,562250,320160,2,40,163,0,2919.56,37.4,0.98,15.65,37.49,Calibration,975.375,978.9895652,3.614565217,0.1156294,Pass Mid,806.9415785,806.22,-0.721578542,-0.025407368,Pass Mid,148.0584215,150.5,2.441578542,0.199834761,Pass Low,20.375,22.26956522,1.894565217,0.410291682,Pass Low
1048-1046,1048,1046,562120,320050,562120,320100,3,40,53,0,4769.06,23.45,0.49,5.26,36.25,,,,,,,,,,,,,,,,,,,,,
1045-1047,1045,1047,562250,320160,562250,320100,2,40,60,0,3893.42,20,0.58,5.98,36.13,,,,,,,,,,,,,,,,,,,,,
7100-1047,7100,1047,562270,320100,562250,320100,1,40,75,0.02,954.85,6.44,5.52,12.27,22,,,,,,,,,,,,,,,,,,,,,
1046-1047,1046,1047,562120,320100,562250,320100,1,40,128,0,869.99,0,5.64,17.16,26.86,,,,,,,,,,,,,,,,,,,,,
1055-1048,1055,1048,562120,319980,562120,320050,2,40,68,3.04,1696.97,59.94,13.31,19.43,12.6,,,,,,,,,,,,,,,,,,,,,
1047-1049,1047,1049,562250,320100,562250,320050,2,40,50,0.8,2800,25.53,4.88,9.38,19.19,,,,,,,,,,,,,,,,,,,,,
1048-1049,1048,1049,562120,320050,562250,320050,1,40,133,0,180,0,31.68,43.65,10.97,,,,,,,,,,,,,,,,,,,,,
1115-1050,1115,1050,562280,319020,562300,319010,1,48,20,0,1900,38.98,0,1.5,48,,,,,,,,,,,,,,,,,,,,,
7050-1050,7050,1050,562350,318970,562300,319010,2,48,70,0,3951.76,22.1,0.58,5.83,43.19,,,,,,,,,,,,,,,,,,,,,
5001-1051,5001,1051,561630,320110,561640,320010,1,32,112,0,1279.18,14.59,1.65,14.25,28.3,,,,,,,,,,,,,,,,,,,,,
2015-1051,2015,1051,561570,319960,561640,320010,1,32,103,0.05,720.08,50.5,2.78,14.36,25.82,,,,,,,,,,,,,,,,,,,,,
1051-1052,1051,1052,561640,320010,561660,319950,1,48,72,0,1794.68,18.95,1.24,6.64,39.05,,,,,,,,,,,,,,,,,,,,,
1053-1052,1053,1052,561730,319950,561660,319950,1,30,100,0.01,725.42,13.96,5.99,17.99,20.01,,,,,,,,,,,,,,,,,,,,,
1052-1053,1052,1053,561660,319950,561730,319950,1,30,100,0,1250,18.51,0,12,30,,,,,,,,,,,,,,,,,,,,,
1049-1055,1049,1055,562250,320050,562120,319980,2,40,179,0.86,1745,40.96,8.64,24.75,26.04,,,,,,,,,,,,,,,,,,,,,
1058-1055,1058,1055,562120,319880,562120,319980,2,48,104,7.61,1066.67,92.8,48.11,55.91,6.7,Calibration,921,932.1713043,11.17130435,0.366995804,Pass Mid,784.6666667,792.69,8.023333333,0.285696474,Pass Mid,121,119.69,-1.31,-0.119414556,Pass Low,15.33333333,19.79130435,4.457971014,1.063766505,Pass Low
1058-1057,1058,1057,562120,319880,561940,319860,1,30,173,0,1250,5.34,0,20.76,30,,,,,,,,,,,,,,,,,,,,,
1064-1058,1064,1058,562090,319790,562120,319880,2,48,97,2.18,2223.1,45.78,9.1,16.37,21.33,Calibration,938,957.3234783,19.32347826,0.627709396,Pass Mid,792,808.29,16.29,0.575886286,Pass Mid,124,127.19,3.19,0.284645622,Pass Low,22,21.84347826,-0.156521739,-0.03343006,Pass Low
1057-1058,1057,1058,561940,319860,562120,319880,2,30,173,0.21,882.5,5.24,21.7,42.46,14.67,,,,,,,,,,,,,,,,,,,,,
1055-1058,1055,1058,562120,319980,562120,319880,1,48,104,2.32,1769,35.48,14.76,22.56,16.59,Calibration,583.3333333,585.8695652,2.536231884,0.104896021,Pass Low,471,467.81,-3.19,-0.147236955,Pass Low,106,105.99,-0.01,-0.000971309,Pass Low,6.333333333,12.06956522,5.736231884,1.891030707,Pass Low
2042-1059,2042,1059,562770,320070,562720,319980,1,40,102,2.56,1815,21.15,16.76,25.94,14.15,,,,,,,,,,,,,,,,,,,,,
2037-1059,2037,1059,562750,319720,562720,319980,1,40,282,2.85,1815,23.53,17.23,42.61,23.82,Calibration,447.8888889,421.5882609,-26.30062802,-1.261397687,Pass Low,374.3194966,350.27,-24.04949664,-1.263499201,Pass Low,68.68050336,67.14,-1.540503357,-0.186936875,Pass Low,4.888888889,4.17826087,-0.710628019,-0.333750504,Pass Low
2795-1061,2795,1061,561700,319840,561820,319820,1,32,118,0,452.89,32.78,8.86,22.14,19.19,Calibration,168,147.8195652,-20.18043478,-1.605927744,Pass Low,138,123.81,-14.19,-1.240235842,Pass Low,29,23.54,-5.46,-1.065277137,Pass Low,1,0.469565217,-0.530434783,-0.618803213,Pass Low
1124-1061,1124,1061,561850,319680,561820,319820,1,48,147,0,440,4.14,4.27,15.29,34.61,Calibration,21,18.23,-2.77,-0.625439942,Pass Low,18,15.14,-2.86,-0.702594554,Pass Low,3,3.09,0.09,0.051576143,Pass Low,0,0,0,0,Pass Low
1061-1062,1061,1062,561820,319820,561890,319820,1,48,70,0,1930,2.33,0,5.25,48,Calibration,67,44.59478261,-22.40521739,-2.99945406,Pass Low,53,36.79,-16.21,-2.419268256,Pass Low,13,7.57,-5.43,-1.693158759,Pass Low,1,0.234782609,-0.765217391,-0.97387805,Pass Low
1064-1063,1064,1063,562090,319790,561960,319810,1,48,140,0,1600,0,1.13,11.63,43.35,Calibration,23,0,-23,-6.782329983,Pass Low,17,0,-17,-5.830951895,Pass Low,6,0,-6,-3.464101615,Pass Low,0,0,0,0,Pass Low
1062-1063,1062,1063,561890,319820,561960,319810,1,48,69,0,1890,2.38,0.98,6.15,40.38,,,,,,,,,,,,,,,,,,,,,
2008-1064,2008,1064,562100,319750,562090,319790,2,48,40,0.99,2904,33.5,4.47,7.47,19.27,Calibration,934,912.7130435,-21.28695652,-0.700533426,Pass Mid,789,771.49,-17.51,-0.626860131,Pass Mid,123,119.61,-3.39,-0.30779414,Pass Low,22,21.61304348,-0.386956522,-0.082864587,Pass Low
1063-1064,1063,1064,561960,319810,562090,319790,1,48,140,0.04,1320,3.4,4.15,14.65,34.41,Calibration,27,44.59478261,17.59478261,2.940750745,Pass Low,20,36.79,16.79,3.150864736,Pass Low,7,7.57,0.57,0.211183546,Pass Low,0,0.234782609,0.234782609,0.685248289,Pass Low
1058-1064,1058,1064,562120,319880,562090,319790,2,48,97,0.59,2904,21.87,3.97,11.24,31.06,Calibration,597,592.5630435,-4.436956522,-0.181930888,Pass Low,482,473.46,-8.54,-0.390720874,Pass Low,106,106.49,0.49,0.047538101,Pass Low,9,12.61304348,3.613043478,1.099082321,Pass Low
1135-1066,1135,1066,562050,319690,561970,319700,1,48,77,0.31,1378.67,29.77,4.59,10.36,26.75,,,,,,,,,,,,,,,,,,,,,
7031-1066,7031,1066,561900,319700,561970,319700,1,48,63,0.08,1481.33,8.43,3.6,8.33,27.24,,,,,,,,,,,,,,,,,,,,,
1063-1066,1063,1066,561960,319810,561970,319700,2,48,100,0,346,0,34.75,42.25,8.52,,,,,,,,,,,,,,,,,,,,,
4001-1067,4001,1067,562170,319580,562110,319690,2,48,131,5.03,1589.02,86.29,21.23,31.06,15.18,Calibration,1294,1310.262609,16.2626087,0.450674331,Pass Mid,1112,1129.67,17.67,0.52779553,Pass Mid,160,158.41,-1.59,-0.126013993,Pass Low,22,22.1826087,0.182608696,0.038851767,Pass Low
1135-1067,1135,1067,562050,319690,562110,319690,3,48,54,0.85,936,13.8,29.4,33.45,5.81,Calibration,114,126.3682609,12.36826087,1.128197347,Pass Low,84,96.07,12.07,1.272042394,Pass Low,28,28.12,0.12,0.02265361,Pass Low,2,2.17826087,0.17826087,0.123331281,Pass Low
2008-1067,2008,1067,562100,319750,562110,319690,3,48,55,1.89,2199.1,28.04,13.87,17.99,11,Calibration,573,572.9586957,-0.041304348,-0.001725545,Pass Low,459,454.29,-4.71,-0.220410132,Pass Low,103,105.16,2.16,0.211724009,Pass Low,11,13.50869565,2.508695652,0.716643021,Pass Low
4001-1071,4001,1071,562170,319580,562180,319560,2,48,24,0.86,2272.41,28.32,5.9,7.7,11.22,,,,,,,,,,,,,,,,,,,,,
5006-1071,5006,1071,562260,319540,562180,319560,1,48,85,0.32,280,24.87,25.22,31.59,9.69,,,,,,,,,,,,,,,,,,,,,
1072-1071,1072,1071,562240,319470,562180,319560,2,48,107,2.19,2449.56,53.58,7.58,15.61,24.68,Calibration,1204,1251.587391,47.5873913,1.358092023,Pass Mid,1034,1079.17,45.17,1.389625805,Pass Mid,149,150.3,1.3,0.106268608,Pass Low,21,22.1173913,1.117391304,0.240654533,Pass Low
1071-1072,1071,1072,562180,319560,562240,319470,2,48,107,0.2,4049.04,15.47,2.12,10.15,37.97,Calibration,564,585.9713043,21.97130435,0.916278162,Pass Low,441,453.43,12.43,0.587777487,Pass Low,112,118.35,6.35,0.591690525,Pass Low,11,14.19130435,3.191304348,0.899203305,Pass Low
