Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed,Distance,Average_Q,Capacity,V_C,Delay,Total_Time,Net_Speed,CalValFlag,AllObs,AllMod,AllDiff,AllGEH,AllFlowTest,CarObs,CarMod,CarDiff,CarGEH,CarFlowTest,LGVObs,LGVMod,LGVDiff,LGVGEH,LGVFlowTest,HGVObs,HGVMod,HGVDiff,HGVGEH,HGVFlowTest
1217-1010,1217,1010,566770,322950,566290,322150,1,96,934,0,1900,53.99,7.67,42.69,78.76,,,,,,,,,,,,,,,,,,,,,
7014-1010,7014,1010,565360,320260,566290,322150,1,96,2111,0,1500,75.42,22.14,101.3,75.02,Calibration,1117,1089.022174,-27.97782609,-0.842410997,Pass Mid,946,939.89,-6.11,-0.198974778,Pass Mid,148,127.38,-20.62,-1.757265817,Pass Low,23,21.75217391,-1.247826087,-0.263792224,Pass Low
1029-1011,1029,1011,561850,320710,561920,320660,2,48,86,2.79,1253.54,44.7,20.51,26.96,11.48,Validation,545,543.1734783,-1.826521739,-0.078305231,Pass Low,484,476.93,-7.07,-0.322543679,Pass Low,60,58.8,-1.2,-0.155699789,Pass Low,1,7.443478261,6.443478261,3.135990011,Pass Low
1139-1011,1139,1011,561980,320690,561920,320660,1,32,64,0.67,384.11,22.26,33.89,41.09,5.61,Validation,122,77.49,-44.51,-4.456685902,Pass Low,114,70.14,-43.86,-4.57098247,Pass Low,8,7.35,-0.65,-0.234624935,Pass Low,0,0,0,0,Pass Low
1014-1011,1014,1011,561940,320530,561920,320660,1,48,132,2.15,1482.46,55.7,12.05,21.95,21.65,Validation,864,808.2973913,-55.7026087,-1.926343698,Pass Mid,770,721.82,-48.18,-1.764101547,Pass Mid,93,79.16,-13.84,-1.491711923,Pass Low,1,7.317391304,6.317391304,3.097841612,Pass Low
7048-1013,7048,1013,563590,320730,563620,320760,1,48,37,0.08,2128.45,32.53,2.15,4.93,27.04,,,,,,,,,,,,,,,,,,,,,
5003-1013,5003,1013,563550,320870,563620,320760,1,30,130,0.06,382.95,12.61,10.43,26.03,17.98,,,,,,,,,,,,,,,,,,,,,
7047-1013,7047,1013,563850,321260,563620,320760,1,48,562,0,1447.19,42.26,6.65,48.8,41.46,Calibration,605.125,602.8908696,-2.234130435,-0.090904881,Pass Low,539.7752818,537.15,-2.62528181,-0.113135302,Pass Low,63.72471819,63.68,-0.04471819,-0.005602817,Pass Low,1.625,2.060869565,0.435869565,0.321071356,Pass Low
2032-1013,2032,1013,563860,320760,563620,320760,1,32,245,0.56,660,28.05,17.44,45,19.6,,,,,,,,,,,,,,,,,,,,,
1034-1014,1034,1014,562020,320400,561940,320530,1,48,163,1.62,1100,44.85,14.8,27.03,21.71,,,,,,,,,,,,,,,,,,,,,
2012-1014,2012,1014,561830,320550,561940,320530,2,32,113,2.34,882.22,37.68,32.58,45.3,8.98,,,,,,,,,,,,,,,,,,,,,
1011-1014,1011,1014,561920,320660,561940,320530,2,48,132,0.13,2083.96,24.09,3.18,13.08,36.32,Validation,537,476.2947826,-60.70521739,-2.696951356,Pass Low,481,409.88,-71.12,-3.369745804,Pass Low,55,58.98,3.98,0.527210127,Pass Low,1,7.434782609,6.434782609,3.133371798,Pass Low
4010-1015,4010,1015,562360,320370,562570,320490,1,48,261,3.36,972.14,62.67,24.61,44.19,21.26,Calibration,566.5555556,561.0969565,-5.458599034,-0.229883894,Pass Low,505.5393277,516.29,10.75067227,0.475621457,Pass Low,59.68289449,44.62,-15.06289449,-2.085812432,Pass Low,1.333333333,0.186956522,-1.146376812,-1.314859026,Pass Low
1120-1015,1120,1015,562530,320700,562570,320490,1,48,204,1.05,1024.14,40.3,11.31,26.61,27.6,Validation,328,412.78,84.78,4.405181288,Pass Low,295,378.9,83.9,4.570663305,Pass Low,33,33.88,0.88,0.152177182,Pass Low,0,0,0,0,Pass Low
1016-1015,1016,1015,562810,320440,562570,320490,2,48,245,1.97,1781.67,41.33,31.27,49.65,17.77,Validation,491,692.0321739,201.0321739,8.26575044,Fail Low,448,628.56,180.56,7.782469444,Fail Low,43,63.22,20.22,2.774552842,Pass Low,0,0.252173913,0.252173913,0.710174504,Pass Low
4012-1016,4012,1016,562960,320480,562810,320440,1,40,158,5.04,974.39,88.35,35.98,50.2,11.33,Validation,735,816.93,81.93,2.941181926,Pass Mid,691,765.63,74.63,2.765373612,Pass Low,44,51.3,7.3,1.057526862,Pass Low,0,0,0,0,Pass Low
7044-1016,7044,1016,562800,320280,562810,320440,1,40,160,2.79,1137.72,55.47,19.48,33.88,17,Validation,553,630.7721739,77.77217391,3.196724231,Pass Low,484,558.16,74.16,3.248759174,Pass Low,69,72.36,3.36,0.399660297,Pass Low,0,0.252173913,0.252173913,0.710174504,Pass Low
1015-1016,1015,1016,562570,320490,562810,320440,1,48,245,4.37,1108.02,77.92,25.47,43.85,20.12,Validation,670,815.1469565,145.1469565,5.326454444,Fail Low,617,749.64,132.64,5.074140017,Fail Low,52,65.32,13.32,1.7391346,Pass Low,1,0.186956522,-0.813043478,-1.055386083,Pass Low
1020-1018,1020,1018,563340,319960,563380,320470,1,32,500,2.61,633.26,47.1,36.07,92.32,19.5,Calibration,297,294.24,-2.76,-0.160524814,Pass Low,262,259.48,-2.52,-0.156061835,Pass Low,35,34.76,-0.24,-0.040637128,Pass Low,0,0,0,0,Pass Low
2147-1018,2147,1018,563310,320490,563380,320470,2,40,85,1.25,1563.57,69.37,7.87,15.52,19.72,Calibration,1058,1036.66,-21.34,-0.659405618,Pass Mid,981,960.95,-20.05,-0.643443403,Pass Mid,76,75.71,-0.29,-0.03329706,Pass Low,1,0,-1,-1.414213562,Pass Low
1019-1018,1019,1018,563460,320480,563380,320470,2,40,90,6.44,1007.08,85.6,38.81,46.91,6.91,Calibration,816,822.08,6.08,0.212447206,Pass Mid,761,767.27,6.27,0.2268206,Pass Mid,55,54.81,-0.19,-0.025641749,Pass Low,0,0,0,0,Pass Low
1018-1019,1018,1019,563380,320470,563460,320480,2,40,90,3.09,1857.78,59.28,17.64,25.74,12.59,Calibration,1064,1051.31,-12.69,-0.390202106,Pass Mid,979,966.83,-12.17,-0.390169331,Pass Mid,84,84.48,0.48,0.052297636,Pass Low,1,0,-1,-1.414213562,Pass Low
2031-1019,2031,1019,563470,320520,563460,320480,2,48,43,3.76,1039.14,49.81,29.3,32.53,4.76,Calibration,511,508.7656522,-2.234347826,-0.098949952,Pass Low,469,468.55,-0.45,-0.020784055,Pass Low,40,38.02,-1.98,-0.317013104,Pass Low,2,2.195652174,0.195652174,0.135082764,Pass Low
7042-1019,7042,1019,563830,320450,563460,320480,1,40,372,3.22,1239.32,54.65,20.36,53.84,24.87,Calibration,633,635.276087,2.276086957,0.090385121,Pass Low,580,593.77,13.77,0.568404406,Pass Low,53,41.48,-11.52,-1.676090771,Pass Low,0,0.026086957,0.026086957,0.228416096,Pass Low
1018-1020,1018,1020,563380,320470,563340,319960,1,32,500,0,1730,16.61,0,56.25,32,Calibration,286,287.3,1.3,0.076783407,Pass Low,256,257.36,1.36,0.084887334,Pass Low,30,29.94,-0.06,-0.010959932,Pass Low,0,0,0,0,Pass Low
2992-1020,2992,1020,563530,319800,563340,319960,1,32,267,0,1730,17.01,0,30.04,32,,,,,,,,,,,,,,,,,,,,,
5018-1021,5018,1021,564340,320390,563940,320440,1,40,407,0.41,1047.44,88.65,17.77,54.4,26.94,,,,,,,,,,,,,,,,,,,,,
7042-1021,7042,1021,563830,320450,563940,320440,1,40,112,0,1900,34.31,1.44,11.52,35,,,,,,,,,,,,,,,,,,,,,
2032-1021,2032,1021,563860,320760,563940,320440,1,32,414,0.35,458.88,57.28,18.36,64.93,22.95,,,,,,,,,,,,,,,,,,,,,
1042-1024,1042,1024,562100,320240,562000,320220,1,30,100,0,1250,14.62,0,12,30,,,,,,,,,,,,,,,,,,,,,
1094-1026,1094,1026,563170,318360,562970,318280,1,30,500,0,1250,33.65,0,60,30,Calibration,701,415.58,-285.42,-12.07965351,Fail Mid,622,358.86,-263.14,-11.88224099,Fail Low,77,52.82,-24.18,-3.001238383,Pass Low,2,3.9,1.9,1.106222769,Pass Low
1128-1028,1128,1028,562010,319500,562090,319470,1,32,84,0,1980,3.56,0,9.45,32,,,,,,,,,,,,,,,,,,,,,
1072-1028,1072,1028,562240,319470,562090,319470,1,32,150,0,1980,3.01,0,16.88,32,Calibration,65,59.51347826,-5.486521739,-0.695350737,Pass Low,60,57.29,-2.71,-0.353878189,Pass Low,5,2.18,-2.82,-1.488339075,Pass Low,0,0.043478261,0.043478261,0.294883912,Pass Low
1228-1029,1228,1029,562000,321020,561850,320710,1,64,341,0.01,1720,22.85,1.42,20.61,59.58,,,,,,,,,,,,,,,,,,,,,
1011-1029,1011,1029,561920,320660,561850,320710,1,48,86,0,1894.09,41.41,1.62,8.07,38.36,Validation,793,770.8873913,-22.1126087,-0.790773741,Pass Mid,712,681.61,-30.39,-1.151264388,Pass Mid,80,81.96,1.96,0.217804669,Pass Low,1,7.317391304,6.317391304,3.097841612,Pass Low
1212-1029,1212,1029,561510,320830,561850,320710,1,30,359,0.14,380.53,25.07,11.44,54.52,23.71,,,,,,,,,,,,,,,,,,,,,
5001-1030,5001,1030,561630,320110,561660,320370,1,32,267,0,1100,17.28,0,30.04,32,Calibration,191.1111111,188.4456522,-2.665458937,-0.19348559,Pass Low,169.9375369,167.51,-2.427536941,-0.186886407,Pass Low,20.06246306,19.64,-0.422463059,-0.094818922,Pass Low,1.111111111,1.295652174,0.184541063,0.168225306,Pass Low
1031-1030,1031,1030,561790,320430,561660,320370,1,32,148,0,1100,24.94,0,16.65,32,,,,,,,,,,,,,,,,,,,,,
2012-1031,2012,1031,561830,320550,561790,320430,1,32,130,0.03,745.03,25.48,5.9,20.53,22.8,,,,,,,,,,,,,,,,,,,,,
1032-1031,1032,1031,561810,320380,561790,320430,1,32,53,0,1733.02,20.95,1.31,7.28,26.22,,,,,,,,,,,,,,,,,,,,,
1030-1031,1030,1031,561660,320370,561790,320430,1,32,148,0.07,828.1,22.96,3.37,20.02,26.62,,,,,,,,,,,,,,,,,,,,,
1031-1032,1031,1032,561790,320430,561810,320380,1,32,53,0,1588.12,8.59,2.93,8.89,21.45,,,,,,,,,,,,,,,,,,,,,
1033-1032,1033,1032,561930,320380,561810,320380,1,32,119,0,520.82,39.21,5.67,19.06,22.47,,,,,,,,,,,,,,,,,,,,,
5012-1032,5012,1032,561820,320310,561810,320380,1,32,100,0.07,696.04,65.72,10.09,21.34,16.87,,,,,,,,,,,,,,,,,,,,,
1032-1033,1032,1033,561810,320380,561930,320380,1,32,119,0,1100,18.62,2.01,15.4,27.82,,,,,,,,,,,,,,,,,,,,,
1034-1033,1034,1033,562020,320400,561930,320380,1,32,98,0,1100,18.57,2.01,13.03,27.07,,,,,,,,,,,,,,,,,,,,,
4009-1033,4009,1033,561950,320240,561930,320380,1,32,140,0,200,0,8.78,24.53,20.55,,,,,,,,,,,,,,,,,,,,,
1014-1034,1014,1034,561940,320530,562020,320400,1,48,163,0,1976.39,15.79,1.08,13.31,44.09,,,,,,,,,,,,,,,,,,,,,
1035-1034,1035,1034,562070,320360,562020,320400,1,48,57,0,1801.16,38.71,1.63,5.9,34.75,,,,,,,,,,,,,,,,,,,,,
1033-1034,1033,1034,561930,320380,562020,320400,1,32,98,0.46,328.54,62.36,17.67,28.69,12.3,,,,,,,,,,,,,,,,,,,,,
1039-1035,1039,1035,562090,320280,562070,320360,3,40,84,1.96,3144.85,35.95,7.95,15.51,19.5,,,,,,,,,,,,,,,,,,,,,
1034-1035,1034,1035,562020,320400,562070,320360,2,48,57,2.19,1287.88,40.11,17.35,21.62,9.49,,,,,,,,,,,,,,,,,,,,,
7039-1039,7039,1039,562090,320270,562090,320280,4,40,22,0,6400,21.44,0.67,2.65,29.86,,,,,,,,,,,,,,,,,,,,,
2006-1040,2006,1040,562110,320380,562230,320320,2,40,152,2.48,2250,45.84,23.45,37.13,14.74,,,,,,,,,,,,,,,,,,,,,
4008-1040,4008,1040,562330,320350,562230,320320,2,48,102,1.74,840,38.53,22.86,30.51,12.04,Calibration,282,283.3295652,1.329565217,0.079081299,Pass Low,266,264.32,-1.68,-0.103170439,Pass Low,16,18.74,2.74,0.657431719,Pass Low,0,0.269565217,0.269565217,0.73425502,Pass Low
1039-1040,1039,1040,562090,320280,562230,320320,1,40,147,1.25,453.33,53.21,27.24,40.47,13.08,,,,,,,,,,,,,,,,,,,,,
1044-1042,1044,1042,562120,320160,562100,320240,4,40,77,0,6334.21,18.51,0.35,7.28,38.08,,,,,,,,,,,,,,,,,,,,,
1024-1042,1024,1042,562000,320220,562100,320240,1,30,100,1.26,447.17,82.27,20.74,32.74,11,,,,,,,,,,,,,,,,,,,,,
1045-1044,1045,1044,562250,320160,562120,320160,2,40,133,0.9,853.33,22.02,19.84,31.81,15.05,,,,,,,,,,,,,,,,,,,,,
1046-1044,1046,1044,562120,320100,562120,320160,3,40,54,1.96,2720,35.99,8.11,12.97,14.99,,,,,,,,,,,,,,,,,,,,,
1040-1045,1040,1045,562230,320320,562250,320160,2,40,163,0,2869.35,33.87,0.95,15.62,37.58,Calibration,888.75,878.446087,-10.30391304,-0.346636916,Pass Mid,784.6194962,778.71,-5.909496219,-0.211368466,Pass Mid,92.63050378,90.91,-1.720503781,-0.179599312,Pass Low,11.5,8.826086957,-2.673913043,-0.838755514,Pass Low
1048-1046,1048,1046,562120,320050,562120,320100,3,40,53,0,4751.85,22,0.49,5.26,36.3,,,,,,,,,,,,,,,,,,,,,
1045-1047,1045,1047,562250,320160,562250,320100,2,40,60,0,3870.73,20.83,0.59,5.99,36.08,,,,,,,,,,,,,,,,,,,,,
7100-1047,7100,1047,562270,320100,562250,320100,1,40,75,0.03,947.26,9.7,5.63,12.38,21.82,,,,,,,,,,,,,,,,,,,,,
1046-1047,1046,1047,562120,320100,562250,320100,1,40,128,0,857.38,0,5.7,17.22,26.76,,,,,,,,,,,,,,,,,,,,,
1055-1048,1055,1048,562120,319980,562120,320050,2,40,68,2.72,1696.97,55.76,12.73,18.85,12.99,,,,,,,,,,,,,,,,,,,,,
1047-1049,1047,1049,562250,320100,562250,320050,2,40,50,0.87,2800,27.23,4.96,9.46,19.04,,,,,,,,,,,,,,,,,,,,,
1048-1049,1048,1049,562120,320050,562250,320050,1,40,133,0,180,0,31.68,43.65,10.97,,,,,,,,,,,,,,,,,,,,,
1115-1050,1115,1050,562280,319020,562300,319010,1,48,20,0,1900,49.61,0,1.5,48,,,,,,,,,,,,,,,,,,,,,
7050-1050,7050,1050,562350,318970,562300,319010,2,48,70,0,3815.44,30.61,0.68,5.93,42.5,,,,,,,,,,,,,,,,,,,,,
5001-1051,5001,1051,561630,320110,561640,320010,1,32,112,0,1486.74,19.61,1.51,14.11,28.58,,,,,,,,,,,,,,,,,,,,,
2015-1051,2015,1051,561570,319960,561640,320010,1,32,103,0.04,799.4,36.82,2.59,14.18,26.15,,,,,,,,,,,,,,,,,,,,,
1051-1052,1051,1052,561640,320010,561660,319950,1,48,72,0,1846.14,21.23,1.24,6.64,39.05,,,,,,,,,,,,,,,,,,,,,
1053-1052,1053,1052,561730,319950,561660,319950,1,30,100,0.05,690.03,37.07,7.32,19.32,18.64,,,,,,,,,,,,,,,,,,,,,
1052-1053,1052,1053,561660,319950,561730,319950,1,30,100,0,1250,13.87,0,12,30,,,,,,,,,,,,,,,,,,,,,
1049-1055,1049,1055,562250,320050,562120,319980,2,40,179,0.83,1800,42.37,8.13,24.24,26.59,,,,,,,,,,,,,,,,,,,,,
1058-1055,1058,1055,562120,319880,562120,319980,2,48,104,6.55,1013.33,87.79,40.31,48.11,7.78,Calibration,876.6666667,859.0821739,-17.58449275,-0.596899755,Pass Mid,775.3333333,762.87,-12.46333333,-0.449409589,Pass Mid,95,89.56,-5.44,-0.566298103,Pass Low,6.333333333,6.652173913,0.31884058,0.125129333,Pass Low
1058-1057,1058,1057,562120,319880,561940,319860,1,30,173,0,1250,2.24,0,20.76,30,,,,,,,,,,,,,,,,,,,,,
1064-1058,1064,1058,562090,319790,562120,319880,2,48,97,1.63,2232.91,36.32,8.35,15.62,22.35,Calibration,791,780.4813043,-10.51869565,-0.375251363,Pass Mid,697,690.06,-6.94,-0.263528048,Pass Low,89,83.73,-5.27,-0.5670766,Pass Low,5,6.691304348,1.691304348,0.699528286,Pass Low
1057-1058,1057,1058,561940,319860,562120,319880,2,30,173,1.18,882.5,26.56,23.63,44.39,14.03,,,,,,,,,,,,,,,,,,,,,
1055-1058,1055,1058,562120,319980,562120,319880,1,48,104,2.29,1769,36.64,14.2,22,17.02,Calibration,626.6666667,617.7982609,-8.868405797,-0.355524246,Pass Low,559.3333333,550.44,-8.893333333,-0.377539526,Pass Low,63.66666667,63.98,0.313333333,0.039220837,Pass Low,3.666666667,3.37826087,-0.288405797,-0.153667037,Pass Low
2042-1059,2042,1059,562770,320070,562720,319980,1,40,102,3.42,1815,28.28,18.26,27.44,13.38,,,,,,,,,,,,,,,,,,,,,
2037-1059,2037,1059,562750,319720,562720,319980,1,40,282,3.39,1815,28.02,18.2,43.58,23.3,Calibration,509.7777778,507.9247826,-1.852995169,-0.082144568,Pass Low,453.1667652,440.21,-12.95676518,-0.613047688,Pass Low,53.49990149,67.28,13.78009851,1.773250065,Pass Low,3.111111111,0.434782609,-2.676328502,-2.009979185,Pass Low
2795-1061,2795,1061,561700,319840,561820,319820,1,32,118,0.05,439.53,77.61,19.94,33.21,12.79,Calibration,345,341.0478261,-3.952173913,-0.213389895,Pass Low,322,320.27,-1.73,-0.096538886,Pass Low,23,20.73,-2.27,-0.48545739,Pass Low,0,0.047826087,0.047826087,0.309276856,Pass Low
1124-1061,1124,1061,561850,319680,561820,319820,1,48,147,0,440,8.02,4.45,15.47,34.2,Calibration,41,35.21347826,-5.786521739,-0.937382185,Pass Low,37,31.66,-5.34,-0.911390202,Pass Low,4,3.51,-0.49,-0.252866391,Pass Low,0,0.043478261,0.043478261,0.294883912,Pass Low
1061-1062,1061,1062,561820,319820,561890,319820,1,48,70,0,1930,3.08,0,5.25,48,Calibration,92,59.33782609,-32.66217391,-3.754795936,Pass Low,83,52.67,-30.33,-3.682523234,Pass Low,9,6.62,-2.38,-0.851630958,Pass Low,0,0.047826087,0.047826087,0.309276856,Pass Low
1064-1063,1064,1063,562090,319790,561960,319810,1,48,140,0,1600,0,1.13,11.63,43.35,Calibration,14,0,-14,-5.291502622,Pass Low,13,0,-13,-5.099019514,Pass Low,1,0,-1,-1.414213562,Pass Low,0,0,0,0,Pass Low
1062-1063,1062,1063,561890,319820,561960,319810,1,48,69,0,1839.05,3.23,1.01,6.19,40.15,,,,,,,,,,,,,,,,,,,,,
2008-1064,2008,1064,562100,319750,562090,319790,2,48,40,0.71,2904,25.92,4.2,7.2,20,Calibration,741,722.1234783,-18.87652174,-0.697905275,Pass Mid,653,638.31,-14.69,-0.578124716,Pass Low,83,77.17,-5.83,-0.651467815,Pass Low,5,6.643478261,1.643478261,0.681141895,Pass Low
1063-1064,1063,1064,561960,319810,562090,319790,1,48,140,0.05,1320,4.43,4.18,14.68,34.33,Calibration,64,58.36782609,-5.632173913,-0.720041341,Pass Low,57,51.76,-5.24,-0.710577882,Pass Low,7,6.56,-0.44,-0.168980982,Pass Low,0,0.047826087,0.047826087,0.309276856,Pass Low
1058-1064,1058,1064,562120,319880,562090,319790,2,48,97,0.72,2904,26.72,4.16,11.44,30.53,Calibration,796,745.6326087,-50.3673913,-1.814153419,Pass Mid,729,676.75,-52.25,-1.970821296,Pass Mid,65,65.5,0.5,0.061898446,Pass Low,2,3.382608696,1.382608696,0.842787096,Pass Low
1135-1066,1135,1066,562050,319690,561970,319700,1,48,77,0.25,1253.33,17.79,5.53,11.3,24.52,,,,,,,,,,,,,,,,,,,,,
7031-1066,7031,1066,561900,319700,561970,319700,1,48,63,0.48,1346.67,30.25,6.09,10.82,20.97,,,,,,,,,,,,,,,,,,,,,
1063-1066,1063,1066,561960,319810,561970,319700,2,48,100,0.01,576.67,0.17,27.51,35.01,10.28,,,,,,,,,,,,,,,,,,,,,
4001-1067,4001,1067,562170,319580,562110,319690,2,48,131,3.97,1155.31,74.59,22.64,32.46,14.53,Calibration,834,830.7969565,-3.203043478,-0.11101897,Pass Mid,726,722.86,-3.14,-0.116662542,Pass Mid,104,100.95,-3.05,-0.301294272,Pass Low,4,6.986956522,2.986956522,1.274398337,Pass Low
1135-1067,1135,1067,562050,319690,562110,319690,3,48,54,2.43,1704,27.33,22.23,26.28,7.4,Calibration,451,465.6130435,14.61304348,0.682594301,Pass Low,420,434.04,14.04,0.67942731,Pass Low,31,31.46,0.46,0.082313646,Pass Low,0,0.113043478,0.113043478,0.475486021,Pass Low
2008-1067,2008,1067,562100,319750,562110,319690,3,48,55,3.6,1717.07,48.64,18.5,22.63,8.75,Calibration,807,805.3104348,-1.689565217,-0.059506667,Pass Mid,734,731.53,-2.47,-0.09124616,Pass Mid,71,70.75,-0.25,-0.029695694,Pass Low,2,3.030434783,1.030434783,0.64972974,Pass Low
4001-1071,4001,1071,562170,319580,562180,319560,2,48,24,1.95,2272.69,53.3,7.49,9.29,9.3,,,,,,,,,,,,,,,,,,,,,
5006-1071,5006,1071,562260,319540,562180,319560,1,48,85,0.07,280,5.82,22.96,29.34,10.43,,,,,,,,,,,,,,,,,,,,,
1072-1071,1072,1071,562240,319470,562180,319560,2,48,107,1.23,2451.89,34.98,6.27,14.3,26.95,Calibration,823,826.6613043,3.661304348,0.127483341,Pass Mid,721,722.01,1.01,0.0376012,Pass Mid,95,97.66,2.66,0.271019698,Pass Low,7,6.991304348,-0.008695652,-0.003287669,Pass Low
1071-1072,1071,1072,562180,319560,562240,319470,2,48,107,0.05,4280.89,27.26,0.89,8.91,43.23,Calibration,1103,1141.008696,38.00869565,1.134712127,Pass Mid,1013,1048.97,35.97,1.120248225,Pass Mid,87,88.93,1.93,0.205779617,Pass Low,3,3.108695652,0.108695652,0.062194635,Pass Low
