Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed (kph),Distance (m),Average_Q (PCUs),Capacity (PCUs),V_C (%),Delay (s),Total_Time (s),Net_Speed_kph (kph),Actual_Flow_Total (PCUs),Demand_Flow_Total (PCUs),Capacity_Indices,Fixed_Flow (PCUs),Actual_Flow_UC1 (PCUs),Actual_Flow_UC2 (PCUs),Actual_Flow_UC3 (PCUs),Actual_Flow_UC4 (PCUs),Actual_Flow_UC5 (PCUs),Actual_Flow_UC6 (PCUs),Actual_Flow_UC7 (PCUs),Actual_Flow_UC8 (PCUs),Actual_Flow_UC9 (PCUs),Actual_Flow_UC10 (PCUs),Actual_Flow_%_HGV (%),Demand_Flow_UC1 (PCUs),Demand_Flow_UC2 (PCUs),Demand_Flow_UC3 (PCUs),Demand_Flow_UC4 (PCUs),Demand_Flow_UC5 (PCUs),Demand_Flow_UC6 (PCUs),Demand_Flow_UC7 (PCUs),Demand_Flow_UC8 (PCUs),Demand_Flow_UC9 (PCUs),Demand_Flow_UC10 (PCUs),Demand_Flow_%_HGV (%),Car_Veh_Actual_Tot,LGV_Veh_Actual_Tot,HGV_Veh_Actual_Tot,Car_PCU_Actual_Tot,LGV_PCU_Actual_Tot,HGV_PCU_Actual_Tot,Car_Veh_Demand_Tot,LGV_Veh_Demand_Tot,HGV_Veh_Demand_Tot,Car_PCU_Demand_Tot,LGV_PCU_Demand_Tot,HGV_PCU_Demand_Tot,Fixed_Tot,Fixed_PCU_Tot,Period,wkt_geom
1213-1008,1213,1008,56162,32145,56205,32130,1,30,465,2.16,715.71,41.84,30.2,86,19.46,299.47,299.47,0,0,121.45,0.15,12.57,0.46,4.37,109.75,4.79,16.73,28.97,0.25,0.000834808,121.45,0.15,12.57,0.46,4.37,109.75,4.79,16.73,28.97,0.25,0.083480816,270.27,28.97,0.108695652,270.27,28.97,0.25,270.27,28.97,0.108695652,270.27,28.97,0.25,0,0,PM,"LineString (56162 32145, 56205 32130)"
2120-1009,2120,1009,56392,32169,56385,32137,1,48,333,0.02,1720,27.31,3.88,28.85,41.55,599.95,600.41,43,4,150.19,13.37,11.02,17.99,10.51,94.53,187.8,42.06,64.34,4.14,0.006900575,150.31,13.38,11.03,18,10.52,94.61,187.94,42.09,64.39,4.14,0.689528822,527.47,64.34,1.8,527.47,64.34,4.14,527.88,64.39,1.8,527.88,64.39,4.14,2,4,PM,"LineString (56392 32169, 56385 32137)"
7047-1009,7047,1009,56385,32126,56385,32137,1,48,108,0,1883.68,40.71,1.61,9.71,40.04,766.92,767.83,0,9.99,284.41,0.59,33.11,2.74,5.95,303.82,21.23,21.33,78.91,4.85,0.006323997,284.75,0.59,33.14,2.74,5.95,304.18,21.26,21.35,79,4.85,0.631650235,673.18,78.91,2.108695652,673.18,78.91,4.85,673.96,79,2.108695652,673.96,79,4.85,4.995,9.99,PM,"LineString (56385 32126, 56385 32137)"
2119-1009,2119,1009,56368,32147,56385,32137,1,30,195,0.07,378.57,14.19,10.68,34.08,20.6,53.73,53.73,0,0,14.17,0.9,2.3,1.02,0.81,11.65,13.95,3.77,3.6,1.57,0.029220175,14.17,0.9,2.3,1.02,0.81,11.65,13.95,3.77,3.6,1.57,2.922017495,48.57,3.6,0.682608696,48.57,3.6,1.57,48.57,3.6,0.682608696,48.57,3.6,1.57,0,0,PM,"LineString (56368 32147, 56385 32137)"
1217-1010,1217,1010,56677,32295,56629,32215,1,96,934,0,1900,53.99,7.67,42.69,78.76,1025.83,1026.23,17,13.99,355.35,12.26,15.96,24.99,17.35,138.61,217.53,63.08,119.73,46.97,0.045787314,355.49,12.27,15.97,25,17.35,138.66,217.61,63.11,119.78,46.99,4.578895569,845.13,119.73,20.42173913,845.13,119.73,46.97,845.46,119.78,20.43043478,845.46,119.78,46.99,6.995,13.99,PM,"LineString (56677 32295, 56629 32215)"
7014-1010,7014,1010,56536,32026,56629,32215,1,96,2111,0,1500,75.42,22.14,101.3,75.02,1131.26,1133.71,17,13.97,455.05,1.25,48.44,3.13,7.74,379.83,22.95,21.5,127.38,50.03,0.044225023,456.04,1.25,48.55,3.13,7.76,380.65,23,21.55,127.65,50.13,4.421765707,939.89,127.38,21.75217391,939.89,127.38,50.03,941.93,127.65,21.79565217,941.93,127.65,50.13,6.985,13.97,PM,"LineString (56536 32026, 56629 32215)"
1029-1011,1029,1011,56185,32071,56192,32066,2,48,86,2.79,1253.54,44.7,20.51,26.96,11.48,560.86,561.1,0,8,181.72,5.13,12.37,11.73,14.45,99.81,100.29,51.43,58.8,17.12,0.030524552,181.79,5.13,12.38,11.74,14.46,99.86,100.34,51.45,58.83,17.13,3.052931741,476.93,58.8,7.443478261,476.93,58.8,17.12,477.15,58.83,7.447826087,477.15,58.83,17.13,4,8,PM,"LineString (56185 32071, 56192 32066)"
1139-1011,1139,1011,56198,32069,56192,32066,1,32,64,0.67,384.11,22.26,33.89,41.09,5.61,85.49,85.55,0,7.99,8.5,1.37,1.37,0.85,1.99,13.71,26.54,15.81,7.35,0,0,8.51,1.37,1.38,0.85,2,13.72,26.56,15.82,7.36,0,0,70.14,7.35,0,70.14,7.35,0,70.21,7.36,0,70.21,7.36,0,3.995,7.99,PM,"LineString (56198 32069, 56192 32066)"
1014-1011,1014,1011,56194,32053,56192,32066,1,48,132,2.15,1482.46,55.7,12.05,21.95,21.65,825.79,827.52,0,7.98,306.54,1.88,30.66,5.47,12.8,266.27,51.06,47.14,79.16,16.83,0.020380484,307.18,1.88,30.72,5.48,12.82,266.83,51.17,47.24,79.33,16.87,2.038621423,721.82,79.16,7.317391304,721.82,79.16,16.83,723.32,79.33,7.334782609,723.32,79.33,16.87,3.99,7.98,PM,"LineString (56194 32053, 56192 32066)"
7048-1013,7048,1013,56359,32073,56362,32076,1,48,37,0.08,2128.45,32.53,2.15,4.93,27.04,692.45,693.33,0,9.99,292.6,1.67,36.67,3.59,7.82,248.13,22.97,20.22,47.32,1.47,0.002122897,292.97,1.68,36.72,3.6,7.83,248.44,23,20.25,47.38,1.47,0.21202025,633.67,47.32,0.639130435,633.67,47.32,1.47,634.49,47.38,0.639130435,634.49,47.38,1.47,4.995,9.99,PM,"LineString (56359 32073, 56362 32076)"
