Centroid?,Zone Number,X,Y
C,20598,372053,120370
C,20599,368594,134598
C,20600,372131,127093
C,20601,374567,127906
C,20602,372928,133625
C,20604,332413,158377
C,20605,334585,160582
C,20607,335985,159479
C,20608,334030,156918
C,20609,336867,162110
C,20610,336330,164748
C,20611,338199,158409
C,20612,339460,161327
C,20613,341196,157061
C,20614,342073,159757
C,20615,339584,169706
C,20616,341893,167038
C,20617,343763,163164
C,20618,340311,171022
C,20619,345182,160231
C,20620,342045,171562
C,20621,345936,169855
C,20622,348850,162825
C,20623,345381,171840
C,20624,349561,159303
C,20625,344706,173714
C,20626,349939,165231
C,20627,350202,167973
C,20628,346027,175998
C,20629,350203,172228
C,20630,349932,174362
C,20631,348878,176043
C,20632,354672,165053
C,20633,353366,171206
C,20634,354714,169846
C,20635,351447,176074
C,20636,354171,174096
C,20637,356016,172804
C,20638,346176,142273
C,20639,350105,140366
C,20640,349940,138149
C,20641,348610,136954
C,20642,346402,136392
C,20643,351494,146165
C,20644,352149,138811
C,20645,354774,145569
C,20646,354830,146541
C,20647,353564,135714
C,20648,351273,153292
C,20649,358744,141677
C,20650,358021,149599
C,20651,359863,134910
C,20652,362048,142896
C,20653,362334,144453
C,20654,362486,150422
C,20655,365749,143322
C,20656,365483,138766
C,20657,367469,151163
C,20658,371144,142570
C,20659,373333,148841
C,20660,377020,148775
C,20661,377900,144570
C,20662,375383,154877
C,20663,376654,151906
C,20664,377947,147894
C,20665,380516,150292
C,20666,380628,153644
C,20667,356816,160168
C,20668,361891,161158
C,20669,361501,167280
C,20670,364652,156621
C,20671,366230,161541
C,20672,366604,158797
C,20673,366103,165545
C,20674,366098,166784
C,20676,366511,167589
C,20677,367792,154558
C,20678,366960,168078
C,20679,366670,168591
C,20680,370363,160572
C,20681,371808,164602
C,20682,372491,163564
C,20683,372512,164457
C,20684,372546,165161
C,20685,372419,165878
C,20686,373324,162758
C,20687,373269,163796
C,20688,373744,161856
C,20689,373374,164269
C,20690,373672,163446
C,20691,373837,157786
C,20692,373471,164713
C,20693,373864,164046
C,20694,373024,166741
C,20695,374593,161359
C,20696,374463,162937
C,20697,373964,165229
C,20698,374399,164409
C,20699,374231,166693
C,20700,375471,160986
C,20701,375169,165013
C,20702,373875,168683
C,20703,375859,163621
C,20704,375563,165690
C,20705,376236,162594
C,20706,375938,165024
C,20707,375711,166100
C,20708,375512,166784
C,20709,376947,164356
C,20710,377286,162150
C,20711,376455,166646
C,20712,377723,159004
C,20713,376997,167024
C,20714,377960,164755
C,20715,377595,167661
C,20716,378719,165528
C,20717,379642,167052
C,20718,379524,168266
C,20719,334063,93154
C,20720,335521,95882
C,20721,339249,95905
C,20722,342749,93485
C,20723,337948,101216
C,20724,345467,97078
C,20725,346522,92630
C,20726,346486,91000
C,20727,342660,102842
C,20728,347427,91538
C,20729,347567,94034
C,20730,348063,97582
C,20731,348400,103290
C,20732,351734,95218
C,20733,351630,89478
C,20734,357125,97865
C,20735,356230,105946
C,20736,359094,86595
C,20737,361758,98527
C,20738,363030,89146
C,20739,364688,81003
C,20740,367284,97111
C,20741,367476,90528
C,20742,368355,89934
C,20743,368469,89353
C,20744,368621,90954
C,20745,369268,90265
C,20746,369301,89519
C,20747,369010,86842
C,20748,363375,113896
C,20749,370174,90179
C,20750,371031,101652
C,20751,374978,86450
C,20752,375760,94347
C,20753,376227,99387
C,20756,373282,115325
C,20757,378783,115977
C,20758,373529,108237
C,20759,380746,120999
C,20760,376629,124285
C,20761,381202,107327
C,20762,386023,114781
C,20763,380286,126320
C,20764,384109,125684
C,20765,377445,129782
C,20766,386472,123046
C,20767,380604,128781
C,20768,379802,101051
C,20769,391262,108637
C,20770,386493,99046
C,20771,382981,86460
C,20772,386045,93724
C,20774,392640,95853
C,20775,395837,93428
C,20776,395634,101034
C,20777,398205,96994
C,20778,401653,99780
C,20779,402215,101311
C,20780,404092,99795
C,20781,401000,107833
C,20782,404334,101322
C,20783,405915,101138
C,20784,406837,101438
C,20785,407614,101277
C,20786,407482,98624
C,20787,408181,103627
C,20788,408689,100947
C,20789,409316,102567
C,20790,408721,106927
C,20791,403901,114159
C,20792,411788,102167
C,20793,409726,109129
C,20794,411686,105482
C,20795,412165,104207
C,20796,413568,104833
C,20799,399906,95886
C,20801,401018,96328
C,20803,404466,95782
C,20804,402708,97650
C,20809,412041,97860
C,20810,414904,95569
C,20811,417028,95488
C,20814,419326,93923
C,20815,421161,93880
C,20816,336492,171875
C,20817,351729,177973
C,20818,352013,177596
C,20819,352849,176482
C,20820,353575,176762
C,20821,353476,179859
C,20822,354906,177153
C,20823,354637,178595
C,20824,356093,175406
C,20825,356876,173434
C,20827,356961,169633
C,20828,357442,173954
C,20831,356753,179009
C,20833,357973,174394
C,20834,357834,175534
C,20836,358778,174076
C,20837,358773,169570
C,20839,358526,178711
C,20840,359724,170144
C,20841,359829,172652
C,20842,359720,174300
C,20843,359150,177557
C,20845,359786,176648
C,20847,360670,173000
C,20848,360820,173884
C,20849,360619,175589
C,20850,360316,177508
C,20851,361275,174382
C,20852,361410,174832
C,20853,361683,173397
C,20854,361322,176932
C,20855,361889,168902
C,20856,361698,176257
C,20857,362001,175185
C,20859,362284,176044
C,20860,362511,175763
C,20861,362893,173816
C,20862,362510,176802
C,20863,363253,172866
C,20864,363246,174826
C,20865,363115,176097
C,20866,363154,177132
C,20867,363941,173862
C,20868,363693,176909
C,20869,364135,175264
C,20870,363998,176488
C,20871,378960,136182
C,20872,382245,131923
C,20873,384442,139170
C,20874,383025,145145
C,20875,385646,144899
C,20876,389018,140610
C,20877,388609,130848
C,20878,387152,144297
C,20879,387594,144849
C,20880,382713,148108
C,20881,387503,146550
C,20882,389573,146416
C,20883,391441,145052
C,20884,395155,137647
C,20885,394755,145091
C,20886,389354,151339
C,20887,394384,124824
C,20888,382765,156113
C,20889,386321,155450
C,20890,398516,143152
C,20891,400129,132636
C,20892,385523,157734
C,20893,380913,159304
C,20894,402230,138167
C,20895,390945,157148
C,20896,382706,160877
C,20897,396987,154379
C,20898,388207,160134
C,20899,385357,161418
C,20900,401325,151832
C,20901,381245,163436
C,20902,403799,124521
C,20903,406357,142537
C,20904,407243,138941
C,20905,405716,147005
C,20906,394932,160699
C,20907,408468,135002
C,20908,408303,130720
C,20909,389718,164458
C,20910,399572,158635
C,20911,409823,132071
C,20912,410534,131818
C,20913,404245,155998
C,20914,383034,168716
C,20915,411777,132057
C,20916,412142,130677
C,20917,412573,137450
C,20918,400787,161871
C,20919,397186,164593
C,20920,412647,130836
C,20921,413030,131381
C,20922,412949,130356
C,20923,413074,130716
C,20924,412785,144178
C,20925,413252,130005
C,20926,391200,168833
C,20927,387488,170052
C,20928,413458,130563
C,20929,413764,132703
C,20930,412777,126262
C,20931,413517,129157
C,20932,413806,130709
C,20933,413901,141749
C,20934,414256,129691
C,20935,414671,131537
C,20936,414543,130383
C,20937,414649,130915
C,20938,381996,172158
C,20939,414593,128601
C,20940,415357,133549
C,20941,415256,131816
C,20942,415348,132466
C,20943,415185,130443
C,20944,415557,129435
C,20945,415235,144512
C,20946,415942,130623
C,20947,411953,154560
C,20948,392820,171500
C,20949,404773,164406
C,20950,398745,169124
C,20951,416671,143647
C,20952,417760,134527
C,20953,417798,137576
C,20954,417614,141155
C,20955,386978,174583
C,20956,391279,173595
C,20957,417120,147101
C,20958,418396,130410
C,20959,418489,143644
C,20960,418445,126383
C,20961,399967,171156
C,20962,419434,144451
C,20963,403117,169811
C,20964,382253,177866
C,20965,389645,177635
C,20966,396394,175294
C,20967,385809,178481
C,20968,419213,121482
C,20969,421756,139122
C,20970,421482,127009
C,20971,423185,131689
C,20972,393714,178743
C,20973,404095,173858
C,20974,391164,180315
C,20975,423226,148706
C,20976,416389,163080
C,20977,424513,123823
C,20978,410379,172496
C,20979,392037,182562
C,20980,404533,178146
C,20981,386070,184887
C,20982,425537,119813
C,20983,426797,150481
C,20984,418495,168938
C,20985,399824,183476
C,20986,392774,186504
C,20987,417988,172069
C,20988,427095,158831
C,20989,407539,182251
C,20990,407199,182790
C,20991,391927,189116
C,20992,399044,189370
C,20993,407802,188326
C,20994,396921,193606
C,20995,426817,173521
C,20996,405229,193407
C,20997,409549,192717
C,20998,410315,193835
C,20999,411291,195004
C,21000,413385,197717
C,21001,410701,184411
C,21002,411574,183516
C,21003,412203,185114
C,21004,411490,186067
C,21005,413593,185699
C,21006,414350,183569
C,21007,413382,187226
C,21010,413656,187942
C,21011,414789,186902
C,21012,413464,179981
C,21013,415726,186222
C,21014,415098,188082
C,21016,416275,182624
C,21017,414239,189134
C,21018,416216,187527
C,21019,417243,186051
C,21020,417483,183847
C,21021,417244,187352
C,21022,417005,188015
C,21023,414776,190504
C,21024,416722,188648
C,21025,415927,189732
C,21026,417766,186948
C,21027,418049,186768
C,21028,418521,185280
C,21029,418518,183207
C,21030,418478,186301
C,21031,417759,188337
C,21032,418872,184056
C,21033,418385,187302
C,21034,417276,179171
C,21035,418602,180112
C,21036,418190,189587
C,21037,420061,187392
C,21038,415608,193036
C,21039,422610,182210
C,21040,420630,192982
C,21041,352832,183677
C,21042,354933,183483
C,21043,354706,186451
C,21044,357214,182391
C,21045,358090,180475
C,21046,357929,188398
C,21047,359583,181208
C,21048,360389,182394
C,21049,360420,181470
C,21050,361383,182442
C,21051,360322,179243
C,21052,361658,182987
C,21053,361758,184073
C,21054,361472,180978
C,21055,361927,181678
C,21056,361774,179658
C,21057,362309,180893
C,21058,362158,180195
C,21059,362867,181268
C,21060,361590,177964
C,21061,363079,180117
C,21062,362386,178057
C,21063,363252,179746
C,21064,364147,186626
C,21065,363704,178761
C,21066,364631,180820
C,21067,363533,177882
C,21068,365107,182772
C,21069,361354,192834
C,21070,364063,177902
C,21071,365654,179213
C,21072,365291,177797
C,21074,367030,181341
C,21075,365881,190446
C,21076,364899,174975
C,21077,367357,180352
C,21078,367244,179438
C,21079,365574,175569
C,21080,366767,177344
C,21081,368200,184994
C,21082,368082,181300
C,21083,364810,173232
C,21084,365836,174161
C,21085,368852,181544
C,21086,364208,171644
C,21087,367982,174825
C,21088,369092,177055
C,21089,366818,173040
C,21090,369947,179027
C,21091,370845,181925
C,21092,370758,181023
C,21093,365919,170956
C,21094,371509,183999
C,21095,367755,172007
C,21096,370241,191397
C,21097,371566,187473
C,21098,367131,170108
C,21099,372837,183019
C,21100,369181,170169
C,21101,372330,192826
C,21102,372654,174050
C,21103,375419,179069
C,21104,376865,185193
C,21105,377863,173302
C,21106,380453,181863
C,21107,356511,197618
C,21108,362845,202225
C,21109,358425,209291
C,21110,369180,207535
C,21111,364945,212913
C,21112,364261,217649
C,21113,371946,213935
C,21114,369020,218405
C,21115,374437,219076
C,21116,373558,222485
C,21117,371867,226338
C,21118,368388,231922
C,21119,377133,228148
C,21120,373191,232526
C,21121,369102,199318
C,21122,372993,203914
C,21123,375253,200176
C,21124,376056,197830
C,21125,375933,194716
C,21126,378781,200154
C,21127,374534,209311
C,21128,379916,203302
C,21129,376740,190395
C,21130,379813,205045
C,21131,379771,205956
C,21132,380139,205648
C,21133,380352,205389
C,21134,379738,207110
C,21135,380662,205772
C,21136,381292,204854
C,21137,381046,205894
C,21138,383687,201712
C,21139,384267,198278
C,21140,383177,206101
C,21141,384633,203752
C,21142,378762,212744
C,21143,385797,203133
C,21144,385631,205445
C,21145,387064,203326
C,21146,383732,211711
C,21147,388371,200736
C,21148,386261,209071
C,21149,389250,203105
C,21150,390816,205767
C,21151,386867,213854
C,21152,390527,210584
C,21153,387167,215682
C,21154,379825,219582
